SOURCE	CODE4	n_events	n_patients
INPAT	(-Inf,-1]	536	399
INPAT	(-1,0]	562451	174342
INPAT	(0,1]	662634	173585
INPAT	(1,2]	531927	160636
INPAT	(2,3]	386738	135276
INPAT	(3,4]	327981	118390
INPAT	(4,5]	227795	94374
INPAT	(5,10]	632974	152617
INPAT	(10,50]	427293	90285
INPAT	(50,100]	41022	14631
INPAT	(100, Inf]	25517	8549
PURCH	(-1,0]	1262	1126
PURCH	(0,1]	48255658	269932
PURCH	(1,2]	7041804	244560
PURCH	(2,3]	2694586	165847
PURCH	(3,4]	888105	81005
PURCH	(4,5]	247835	38506
PURCH	(5,10]	415310	43387
PURCH	(10,50]	60517	8364
PURCH	(50,100]	371	65
PURCH	(100, Inf]	45	10
OUTPAT	(-Inf,-1]	309	215
OUTPAT	(-1,0]	14890063	260493
OUTPAT	(0,1]	37373	16616
OUTPAT	(1,2]	295	180
OUTPAT	(2,3]	145	86
OUTPAT	(3,4]	79	54
OUTPAT	(4,5]	57	45
OUTPAT	(5,10]	128	94
OUTPAT	(10,50]	121	97
OUTPAT	(50,100]	8	6
OUTPAT	(100, Inf]	20	8
OPER_OUT	NA	5403973	226746
PRIM_OUT	NA	28977406	248518
REIMB	NA	495355	141628
OPER_IN	NA	2383206	232404
CANC	NA	67045	54826
DEATH	NA	52681	23209
