SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	&6099	NA	NA	8	6	6
INPAT	0	NA	NA	8	161	155
INPAT	00000	NA	NA	8	2797	959
INPAT	00199	NA	NA	8	9	7
INPAT	0020A	NA	NA	9	6	6
INPAT	00210	NA	NA	8	16	15
INPAT	00299	NA	NA	8	7	6
INPAT	00300	NA	NA	8	107	101
INPAT	00304	NA	NA	8	24	21
INPAT	00306	NA	NA	8	70	66
INPAT	00307	NA	NA	8	10	9
INPAT	00309	NA	NA	8	34	29
INPAT	0030A	NA	NA	9	141	125
INPAT	0031A	NA	NA	9	12	12
INPAT	0038X	NA	NA	9	6	6
INPAT	00390	NA	NA	8	26	24
INPAT	00396	NA	NA	8	10	10
INPAT	00399	NA	NA	8	27	25
INPAT	0039X	NA	NA	9	18	17
INPAT	00410	NA	NA	8	6	6
INPAT	00430	NA	NA	8	13	10
INPAT	00499	NA	NA	8	7	7
INPAT	0058X	NA	NA	9	8	8
INPAT	00597	NA	NA	8	10	10
INPAT	00599	NA	NA	8	17	17
INPAT	0059X	NA	NA	9	17	17
INPAT	00710	NA	NA	8	29	28
INPAT	00799	NA	NA	8	8	8
INPAT	00820	NA	NA	8	31	29
INPAT	0084A	NA	NA	9	7	7
INPAT	0084C	NA	NA	9	41	39
INPAT	0084E	NA	NA	9	42	40
INPAT	0084F	NA	NA	9	175	122
INPAT	0085X	NA	NA	9	13	13
INPAT	0086A	NA	NA	9	401	378
INPAT	0086C	NA	NA	9	29	28
INPAT	0086X	NA	NA	9	629	572
INPAT	00880	NA	NA	8	85	83
INPAT	0088X	NA	NA	9	907	819
INPAT	00898	NA	NA	8	91	86
INPAT	00900	NA	NA	8	16	15
INPAT	00910	NA	NA	8	10	10
INPAT	00919	NA	NA	8	391	360
INPAT	00920	NA	NA	8	3639	3326
INPAT	00921	NA	NA	8	91	82
INPAT	0092A	NA	NA	9	1146	1042
INPAT	0093A	NA	NA	9	1207	1085
INPAT	00998	NA	NA	8	87	84
INPAT	01101	NA	NA	8	96	66
INPAT	01102	NA	NA	8	366	210
INPAT	01103	NA	NA	8	9	6
INPAT	01104	NA	NA	8	31	15
INPAT	01106	NA	NA	8	18	15
INPAT	01107	NA	NA	8	201	131
INPAT	01109	NA	NA	8	20	12
INPAT	0110A	NA	NA	8	38	22
INPAT	0110A	NA	NA	9	109	49
INPAT	0110J	NA	NA	8	26	20
INPAT	0110K	NA	NA	8	48	31
INPAT	0110X	NA	NA	9	59	30
INPAT	0112A	NA	NA	9	17	14
INPAT	0118X	NA	NA	9	9	7
INPAT	0119A	NA	NA	9	10	6
INPAT	0119X	NA	NA	9	30	19
INPAT	0120B	NA	NA	9	8	6
INPAT	0120X	NA	NA	9	43	24
INPAT	01210	NA	NA	8	134	66
INPAT	01220	NA	NA	8	200	98
INPAT	01297	NA	NA	8	26	16
INPAT	01500	NA	NA	8	47	11
INPAT	0150X	NA	NA	9	37	7
INPAT	01510	NA	NA	8	21	8
INPAT	01588	NA	NA	8	20	9
INPAT	01597	NA	NA	8	17	8
INPAT	01600	NA	NA	8	47	19
INPAT	01604	NA	NA	8	13	6
INPAT	01608	NA	NA	8	8	6
INPAT	01701	NA	NA	8	9	6
INPAT	01710	NA	NA	8	109	54
INPAT	01718	NA	NA	8	26	15
INPAT	0172A	NA	NA	9	34	19
INPAT	01797	NA	NA	8	21	8
INPAT	01901	NA	NA	8	8	6
INPAT	01908	NA	NA	8	35	23
INPAT	01909	NA	NA	8	10	7
INPAT	01930	NA	NA	8	15	6
INPAT	02100	NA	NA	8	6	6
INPAT	0210A	NA	NA	9	6	6
INPAT	0310A	NA	NA	9	65	18
INPAT	03199	NA	NA	8	47	10
INPAT	03300	NA	NA	8	14	14
INPAT	0330A	NA	NA	9	10	8
INPAT	03397	NA	NA	8	12	11
INPAT	03399	NA	NA	8	9	8
INPAT	0339A	NA	NA	9	7	6
INPAT	03400	NA	NA	8	520	501
INPAT	0340A	NA	NA	9	343	314
INPAT	0340B	NA	NA	9	7	6
INPAT	0340C	NA	NA	9	6	6
INPAT	0340G	NA	NA	9	11	11
INPAT	0340X	NA	NA	9	38	38
INPAT	03417	NA	NA	8	19	19
INPAT	03419	NA	NA	8	52	51
INPAT	0341X	NA	NA	9	8	8
INPAT	0350A	NA	NA	9	185	161
INPAT	0350B	NA	NA	9	31	31
INPAT	0350X	NA	NA	9	804	659
INPAT	03599	NA	NA	8	439	361
INPAT	03600	NA	NA	8	69	64
INPAT	0360A	NA	NA	9	26	20
INPAT	03610	NA	NA	8	9	9
INPAT	03800	NA	NA	8	21	18
INPAT	0380A	NA	NA	9	27	25
INPAT	0380C	NA	NA	9	11	6
INPAT	0380X	NA	NA	9	19	17
INPAT	03810	NA	NA	8	45	36
INPAT	0381A	NA	NA	9	48	36
INPAT	0381B	NA	NA	9	20	15
INPAT	03820	NA	NA	8	21	21
INPAT	0382A	NA	NA	9	59	53
INPAT	0384A	NA	NA	9	8	8
INPAT	0384B	NA	NA	9	82	71
INPAT	0384X	NA	NA	9	12	10
INPAT	03880	NA	NA	8	24	19
INPAT	03888	NA	NA	8	30	27
INPAT	0388X	NA	NA	9	227	179
INPAT	03897	NA	NA	8	44	40
INPAT	03899	NA	NA	8	39	36
INPAT	03990	NA	NA	8	14	14
INPAT	03991	NA	NA	8	10	9
INPAT	03992	NA	NA	8	92	80
INPAT	03993	NA	NA	8	10	8
INPAT	03998	NA	NA	8	54	48
INPAT	0408X	NA	NA	9	10	8
INPAT	0410A	NA	NA	9	11	10
INPAT	0411A	NA	NA	9	13	12
INPAT	0414A	NA	NA	9	7	7
INPAT	0418X	NA	NA	9	28	13
INPAT	0419X	NA	NA	9	56	49
INPAT	04300	NA	NA	8	51	51
INPAT	04301	NA	NA	8	10	10
INPAT	04499	NA	NA	8	50	32
INPAT	04500	NA	NA	8	8	8
INPAT	04597	NA	NA	8	31	27
INPAT	04599	NA	NA	8	123	120
INPAT	04699	NA	NA	8	7	6
INPAT	0479X	NA	NA	9	17	14
INPAT	0498X	NA	NA	9	24	22
INPAT	0499X	NA	NA	9	217	168
INPAT	05200	NA	NA	8	68	67
INPAT	05201	NA	NA	8	28	28
INPAT	05207	NA	NA	8	22	22
INPAT	05209	NA	NA	8	296	292
INPAT	0520B	NA	NA	9	6	6
INPAT	0527A	NA	NA	9	14	12
INPAT	0528X	NA	NA	9	16	15
INPAT	05299	NA	NA	8	6	6
INPAT	0529X	NA	NA	9	124	122
INPAT	05300	NA	NA	8	33	31
INPAT	05306	NA	NA	8	37	36
INPAT	05307	NA	NA	8	11	10
INPAT	05309	NA	NA	8	25	18
INPAT	0530A	NA	NA	9	7	6
INPAT	0531A	NA	NA	9	6	6
INPAT	0532A	NA	NA	9	10	10
INPAT	0532X	NA	NA	9	6	6
INPAT	0538X	NA	NA	9	25	20
INPAT	0539X	NA	NA	9	61	60
INPAT	05400	NA	NA	8	28	25
INPAT	05401	NA	NA	8	68	67
INPAT	05402	NA	NA	8	122	110
INPAT	05403	NA	NA	8	24	23
INPAT	05405	NA	NA	8	99	69
INPAT	05406	NA	NA	8	12	12
INPAT	05407	NA	NA	8	12	12
INPAT	05409	NA	NA	8	7	7
INPAT	0540A	NA	NA	9	24	24
INPAT	0541A	NA	NA	9	47	47
INPAT	0541B	NA	NA	9	29	27
INPAT	0542A	NA	NA	9	41	41
INPAT	0544B	NA	NA	9	15	14
INPAT	0544C	NA	NA	9	9	8
INPAT	0548X	NA	NA	9	6	6
INPAT	0549X	NA	NA	9	7	7
INPAT	05597	NA	NA	8	78	71
INPAT	05599	NA	NA	8	120	116
INPAT	0559X	NA	NA	9	16	14
INPAT	05600	NA	NA	8	20	20
INPAT	05697	NA	NA	8	252	245
INPAT	05699	NA	NA	8	383	378
INPAT	05710	NA	NA	8	140	138
INPAT	0578A	NA	NA	9	62	62
INPAT	0578X	NA	NA	9	7	7
INPAT	05797	NA	NA	8	13	13
INPAT	05799	NA	NA	8	27	26
INPAT	0579X	NA	NA	9	28	27
INPAT	06099	NA	NA	8	11	11
INPAT	0609X	NA	NA	9	148	138
INPAT	06599	NA	NA	8	63	55
INPAT	07003	NA	NA	8	10	10
INPAT	07004	NA	NA	8	60	54
INPAT	07007	NA	NA	8	16	15
INPAT	07009	NA	NA	8	70	57
INPAT	0701A	NA	NA	9	36	33
INPAT	0703A	NA	NA	9	30	27
INPAT	0705A	NA	NA	9	62	44
INPAT	0709X	NA	NA	9	67	60
