SOURCE	VOCAB	EVENT_YEAR	n_events	n_patients
INPAT	10	1989	11	8
INPAT	10	1991	16	9
INPAT	10	1992	19	12
INPAT	10	1993	40	28
INPAT	10	1994	70	46
INPAT	10	1995	1586	1192
INPAT	10	1996	71144	37737
INPAT	10	1997	73839	38507
INPAT	10	1998	75572	38545
INPAT	10	1999	77952	38929
INPAT	10	2000	80003	39054
INPAT	10	2001	80553	37917
INPAT	10	2002	84724	39462
INPAT	10	2003	88399	39521
INPAT	10	2004	94737	40078
INPAT	10	2005	101097	41244
INPAT	10	2006	105455	41989
INPAT	10	2007	112156	42511
INPAT	10	2008	110533	42087
INPAT	10	2009	115541	42239
INPAT	10	2010	119999	42471
INPAT	10	2011	147309	44890
INPAT	10	2012	142968	44277
INPAT	10	2013	145614	44084
INPAT	10	2014	151175	44553
INPAT	10	2015	180587	45990
INPAT	10	2016	199060	48384
INPAT	10	2017	201238	54864
INPAT	10	2018	228366	61322
INPAT	10	2019	940	457
INPAT	8	1968	27	24
INPAT	8	1969	2877	2131
INPAT	8	1970	3987	2886
INPAT	8	1971	6154	4317
INPAT	8	1972	26923	17008
INPAT	8	1973	27960	17928
INPAT	8	1974	27989	18476
INPAT	8	1975	25747	17187
INPAT	8	1976	25481	16995
INPAT	8	1977	32203	20922
INPAT	8	1978	34382	21856
INPAT	8	1979	35388	22499
INPAT	8	1980	37130	22952
INPAT	8	1981	39652	24196
INPAT	8	1982	40147	24509
INPAT	8	1983	40996	24775
INPAT	8	1984	40860	24848
INPAT	8	1985	44606	26802
INPAT	8	1986	42170	26508
INPAT	8	1987	153	124
INPAT	9	1979	12	10
INPAT	9	1980	10	8
INPAT	9	1981	14	10
INPAT	9	1982	11	8
INPAT	9	1983	10	10
INPAT	9	1984	28	22
INPAT	9	1985	55	40
INPAT	9	1986	962	744
INPAT	9	1987	45608	28033
INPAT	9	1988	49470	29725
INPAT	9	1989	50425	30152
INPAT	9	1990	51298	30291
INPAT	9	1991	54065	31030
INPAT	9	1992	58553	32778
INPAT	9	1993	61443	33070
INPAT	9	1994	64656	34857
INPAT	9	1995	64382	34732
INPAT	9	1996	271	234
PURCH	purch	1994	10188	6306
