BIRTH_YEAR,Frequency,APPROX_BIRTH_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
1992,9353,List truncated...,,1,204506,2,180598,1,447220,1,233497,26.0,489,,362191,,360010,,221362,,222446,,222446,A,234102,,347399,,404501,,431580,,446798,,453888,,457014,,458437,,458812,,458961,,459026,,397945,,424238,,438306,,446919,,452353,,455662,,457699,,458388,,458719,,458908,0,236142,0,236618,0,237131,0,237460,0,237201,0,237596,0,237575,0,230879,0,235391,0,237136,,243298,,221362,0,222302,0,234857,0,232434
1991,9244,,,2,156192,3,133874,2,11547,2,225552,27.0,463,60,4596,165,7896,1,200333,40,66118,0,39708,,221362,O800,45797,Z370,10492,Z370,4623,Z370,2311,Z370,1048,Z370,397,Z370,139,Z370,61,List truncated...,,List truncated...,,O244,6374,Z363,2945,O244,1207,Z363,598,Z363,313,Z370,171,Z370,90,Z370,50,List truncated...,,List truncated...,,,221362,,221362,,221362,,221362,,221362,,221362,,221362,,221362,,221362,,221362,0,213664,0,183697,,221362,,221362,,221362
1990,9181,,,3,63932,4,55172,3,273,List truncated...,,28.0,462,65,4261,168,7402,3,21539,39,58893,1,34069,B,3524,6500B,18138,O680,2970,Z392,1213,O244,460,O244,153,O244,78,List truncated...,,List truncated...,,,,,,Z363,5376,O244,2440,Z363,1177,O244,577,O244,293,O244,148,O244,52,List truncated...,,,,,,1,1557,1,1081,1,568,1,239,1,498,1,103,1,124,1,6820,1,2308,1,563,1,2099,1,54002,1,15397,1,2842,1,5265
1994,9032,,,4,19699,1,46349,List truncated...,,,,31.0,460,62,3836,170,7322,2,8765,41,42779,2,32831,C,72,O808,6160,O800,2160,O244,894,O8210,377,O8210,147,Z392,75,,,,,,,,,Z348,2870,O342,1614,Z358,963,Z358,522,Z370,287,Z358,125,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,8935,,,5,6524,5,19060,,,,,30.0,447,70,3535,160,6462,9,6860,38,31353,3,32713,List truncated...,,O814,4873,O244,1967,O8210,863,O342,333,O9980,123,O8210,66,,,,,,,,,O342,2435,Z358,1450,O342,748,O470,430,Z358,283,O470,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,8922,,,6,2959,6,8596,,,,,24.0,403,58,3505,164,6304,4,202,37,12659,6,32477,,,O8210,4401,O814,1517,O342,792,O9980,290,O342,119,E6601,51,,,,,,,,,Z349,2340,Z348,1254,O470,717,Z370,401,O470,201,Z363,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,8788,,,7,1620,7,4113,,,,,27.92,393,63,3431,163,6145,,,42,9650,5,32462,,,O820,3922,O8210,1416,O701,754,O680,282,Z392,118,List truncated...,,,,,,,,,,Z340,1961,O470,1067,Z348,616,O342,340,O366,169,O366,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,8681,,,8,1047,8,2521,,,,,27.83,381,68,3284,167,5573,,,36,5790,4,32355,,,O680,1973,O631,1321,O680,729,O701,276,O701,113,,,,,,,,,,,Z358,1871,Z349,863,Z370,564,Z348,310,O9980,156,O800,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,8653,,,9,753,9,1976,,,,,27.75,379,64,3224,162,5491,,,35,3014,,,,,O60,886,O701,1280,O640,656,O721,270,E6601,109,,,,,,,,,,,O470,1727,Z340,848,O9980,497,O9980,293,O13,151,O9980,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,8540,,,10,538,10,1635,,,,,29.0,378,55,2896,166,4627,,,34,1888,,,,,O809,829,O721,1204,O721,612,O48,231,O60,88,,,,,,,,,,,O13,1388,O13,794,O13,488,O13,274,E6601,137,Z348,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
