SOURCE	CODE1	CODE2	CODE3	vocabulary	n_events	n_patients
CANC	C000	8070	3	canc	10	10
CANC	C001	8070	2	canc	8	8
CANC	C001	8070	3	canc	171	171
CANC	C004	8070	3	canc	8	8
CANC	C009	8070	3	canc	25	25
CANC	C019	8070	3	canc	104	104
CANC	C019	9680	3	canc	7	7
CANC	C021	8070	3	canc	156	156
CANC	C022	8070	3	canc	12	12
CANC	C029	8070	3	canc	134	134
CANC	C030	8070	3	canc	22	22
CANC	C031	8070	3	canc	47	47
CANC	C040	8070	3	canc	9	9
CANC	C041	8070	3	canc	8	8
CANC	C049	8070	3	canc	84	84
CANC	C051	8070	3	canc	15	15
CANC	C060	8070	3	canc	43	43
CANC	C062	8070	3	canc	7	7
CANC	C069	8070	3	canc	46	46
CANC	C069	9591	3	canc	6	6
CANC	C079	8010	3	canc	9	9
CANC	C079	8070	3	canc	19	19
CANC	C079	8140	3	canc	11	11
CANC	C079	8147	3	canc	6	6
CANC	C079	8200	3	canc	13	13
CANC	C079	8430	3	canc	18	18
CANC	C079	8500	3	canc	13	13
CANC	C079	8502	3	canc	7	7
CANC	C079	8550	3	canc	29	29
CANC	C079	8562	3	canc	7	7
CANC	C079	8941	3	canc	6	6
CANC	C079	9591	3	canc	7	7
CANC	C079	9680	3	canc	8	8
CANC	C079	9690	3	canc	6	6
CANC	C079	9691	3	canc	6	6
CANC	C079	9699	3	canc	12	12
CANC	C080	8200	3	canc	11	11
CANC	C080	9699	3	canc	9	9
CANC	C089	8200	3	canc	6	6
CANC	C090	8070	3	canc	35	35
CANC	C099	8070	3	canc	193	193
CANC	C099	9591	3	canc	29	29
CANC	C099	9673	3	canc	14	14
CANC	C099	9680	3	canc	35	35
CANC	C099	9691	3	canc	6	6
CANC	C109	8070	3	canc	9	9
CANC	C112	8070	3	canc	6	6
CANC	C119	8010	3	canc	10	10
CANC	C119	8070	3	canc	31	31
CANC	C119	9680	3	canc	6	6
CANC	C129	8070	3	canc	8	8
CANC	C132	8070	3	canc	7	7
CANC	C139	8070	3	canc	59	59
CANC	C140	8070	3	canc	11	11
CANC	C152	8140	3	canc	13	13
CANC	C153	8070	3	canc	12	12
CANC	C154	8070	3	canc	26	26
CANC	C155	8070	3	canc	38	38
CANC	C155	8140	3	canc	81	81
CANC	C155	8144	3	canc	7	7
CANC	C159	8000	3	canc	17	17
CANC	C159	8010	3	canc	9	9
CANC	C159	8070	2	canc	6	6
CANC	C159	8070	3	canc	178	178
CANC	C159	8140	3	canc	116	116
CANC	C159	8144	3	canc	7	7
CANC	C160	8000	3	canc	6	6
CANC	C160	8010	3	canc	6	6
CANC	C160	8140	3	canc	200	200
CANC	C160	8144	3	canc	51	51
CANC	C160	8145	3	canc	37	37
CANC	C160	8240	3	canc	7	7
CANC	C160	8480	3	canc	18	18
CANC	C162	8140	3	canc	16	16
CANC	C162	8144	3	canc	31	31
CANC	C162	8145	3	canc	37	37
CANC	C162	8240	3	canc	32	32
CANC	C162	8936	1	canc	6	6
CANC	C163	8140	3	canc	38	38
CANC	C163	8144	3	canc	30	30
CANC	C163	8145	3	canc	28	28
CANC	C163	8480	3	canc	8	8
CANC	C163	8936	1	canc	6	6
CANC	C164	8140	3	canc	10	10
CANC	C169	8000	3	canc	23	23
CANC	C169	8010	3	canc	16	16
CANC	C169	8140	3	canc	268	268
CANC	C169	8144	3	canc	56	56
CANC	C169	8145	3	canc	184	184
CANC	C169	8240	3	canc	63	63
CANC	C169	8480	3	canc	53	53
CANC	C169	8936	1	canc	99	99
CANC	C169	8936	3	canc	24	24
CANC	C169	9591	3	canc	33	33
CANC	C169	9680	3	canc	34	34
CANC	C169	9699	3	canc	26	26
CANC	C170	8140	3	canc	27	27
CANC	C170	8240	3	canc	16	16
CANC	C170	8936	1	canc	12	12
CANC	C171	8140	3	canc	10	10
CANC	C171	8240	3	canc	9	9
CANC	C171	8936	1	canc	12	12
CANC	C171	8936	3	canc	8	8
