DELIVERY_YEAR,Frequency,APPROX_DELIVERY_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
1992,9958,List truncated...,,1,222293,2,196208,1,487227,1,254365,26.0,530,,393843,,391453,,243819,,244980,,244980,A,252354,,378805,,441027,,470429,,486839,,494478,,497815,,499332,,499731,,499892,,499962,,433163,,462385,,477891,,487235,,493063,,496563,,498669,,499369,,499682,,499862,0,254471,0,254992,0,255582,0,255934,0,255670,0,256069,0,256050,0,248880,0,253746,0,255595,,268111,,243819,,243819,0,253135,0,250551
1991,9853,,,2,169843,3,145370,2,12461,2,245621,27.0,500,60,5038,165,8665,1,215615,40,71404,0,42746,,243819,O800,50249,Z370,11434,Z370,5027,Z370,2539,Z370,1131,Z370,436,Z370,152,Z370,68,List truncated...,,List truncated...,,O244,6793,Z363,3181,Z363,1265,Z363,642,Z363,342,O244,155,O244,56,List truncated...,,List truncated...,,List truncated...,,,243819,,243819,,243819,,243819,,243819,,243819,,243819,,243819,,243819,,243819,0,229686,0,197113,0,239462,,243819,,243819
1990,9786,,,3,69646,4,60093,3,292,List truncated...,,31.0,497,65,4623,168,8124,3,23300,39,63649,1,36668,B,3753,6500B,19375,O680,3237,Z392,1307,O244,485,O244,159,O244,82,List truncated...,,List truncated...,,,,,,Z363,6089,O244,2583,O244,1246,O244,616,O244,314,Z358,138,Z370,54,,,,,,,1,1710,1,1189,1,599,1,247,1,511,1,112,1,131,1,7301,1,2435,1,586,1,2203,1,59068,1,16719,1,3046,1,5630
1994,9572,,,4,21625,1,50355,List truncated...,,,,28.0,489,62,4224,170,7984,2,9654,41,46050,2,35512,C,73,O808,6495,O800,2338,O244,944,O8210,412,O8210,156,Z392,78,,,,,,,,,Z348,3205,O342,1753,Z358,1048,Z358,566,Z358,298,O470,126,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,9525,,,5,7247,5,20957,,,,,30.0,483,58,3883,160,7128,9,7379,38,33761,3,35237,List truncated...,,O814,5343,O244,2079,O8210,935,O342,348,Z392,128,O8210,68,,,,,,,,,O342,2650,Z358,1589,O342,793,O470,457,O470,222,Z363,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,9522,,,6,3313,6,9389,,,,,24.0,437,70,3842,164,6858,4,233,37,13578,6,35060,,,O8210,4714,O814,1649,O342,840,O9980,308,O9980,126,E6601,51,,,,,,,,,Z349,2565,Z348,1357,O470,779,O342,360,Z370,217,Z370,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,9374,,,7,1853,7,4546,,,,,27.92,423,63,3777,163,6744,,,42,10360,5,34945,,,O820,4181,O8210,1516,O701,815,O701,306,O342,125,O60,50,,,,,,,,,Z340,2206,O470,1166,Z348,680,Z370,349,O9980,173,O366,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,9372,,,8,1212,8,2890,,,,,27.75,418,68,3585,167,6088,,,36,6185,4,34852,,,O680,2148,O631,1437,O680,784,O680,294,O701,122,List truncated...,,,,,,,,,,Z358,2016,Z340,940,O9980,533,Z348,316,O366,171,O800,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,9343,,,9,876,9,2295,,,,,29.0,414,64,3538,162,6050,,,35,3248,,,,,O60,973,O701,1403,O640,713,O721,291,E6601,108,,,,,,,,,,,O470,1928,Z349,912,O13,523,O9980,312,O13,156,O9980,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,9167,,,10,632,10,1953,,,,,28.41,411,55,3196,166,5048,,,34,2009,,,,,O80,964,O721,1309,O721,651,Z392,251,O680,99,,,,,,,,,,,O13,1561,O9980,853,Z340,523,O13,295,O342,149,Z348,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
