AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency,batch,Frequency,n_var,Frequency,chip,Frequency,IS_AFFY,Frequency,IS_FINNGEN1_CHIP,Frequency,IS_FINNGEN2_CHIP,Frequency,IS_AFFY_V2P2,Frequency,IS_AFFY_V4,Frequency,IS_AFFY_V6,Frequency,IS_AFFY_V7,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP2,Frequency,BATCH_AxiomGT1_b01_V4,Frequency,BATCH_AxiomGT1_b02_V4,Frequency,BATCH_AxiomGT1_b03_V4,Frequency,BATCH_AxiomGT1_b04_V4,Frequency,BATCH_AxiomGT1_b05_V4,Frequency,BATCH_AxiomGT1_b06_V4,Frequency,BATCH_AxiomGT1_b07_V4,Frequency,BATCH_AxiomGT1_b08_V4,Frequency,BATCH_AxiomGT1_b09_V4,Frequency,BATCH_AxiomGT1_b10_V4,Frequency,BATCH_AxiomGT1_b100_V6,Frequency,BATCH_AxiomGT1_b101_V6,Frequency,BATCH_AxiomGT1_b102_V6,Frequency,BATCH_AxiomGT1_b103_V7,Frequency,BATCH_AxiomGT1_b104_V7,Frequency,BATCH_AxiomGT1_b105_V7,Frequency,BATCH_AxiomGT1_b106_V7,Frequency,BATCH_AxiomGT1_b107_V7,Frequency,BATCH_AxiomGT1_b108_V7,Frequency,BATCH_AxiomGT1_b109_V7,Frequency,BATCH_AxiomGT1_b11_V4,Frequency,BATCH_AxiomGT1_b110_V7,Frequency,BATCH_AxiomGT1_b111_V7,Frequency,BATCH_AxiomGT1_b112_V7,Frequency,BATCH_AxiomGT1_b113_V7,Frequency,BATCH_AxiomGT1_b12_V4,Frequency,BATCH_AxiomGT1_b13_V4,Frequency,BATCH_AxiomGT1_b14_V4,Frequency,BATCH_AxiomGT1_b15_V4,Frequency,BATCH_AxiomGT1_b16_V4,Frequency,BATCH_AxiomGT1_b17_V4,Frequency,BATCH_AxiomGT1_b18_V4,Frequency,BATCH_AxiomGT1_b19_V4,Frequency,BATCH_AxiomGT1_b20_V4,Frequency,BATCH_AxiomGT1_b21_V4,Frequency,BATCH_AxiomGT1_b22_V4,Frequency,BATCH_AxiomGT1_b23_V4,Frequency,BATCH_AxiomGT1_b24_V4,Frequency,BATCH_AxiomGT1_b25_V4,Frequency,BATCH_AxiomGT1_b26_V2P2,Frequency,BATCH_AxiomGT1_b27_V2P2,Frequency,BATCH_AxiomGT1_b28_V2P2,Frequency,BATCH_AxiomGT1_b29_V2P2,Frequency,BATCH_AxiomGT1_b30_V2P2,Frequency,BATCH_AxiomGT1_b31_V7,Frequency,BATCH_AxiomGT1_b32_V7,Frequency,BATCH_AxiomGT1_b33_V7,Frequency,BATCH_AxiomGT1_b34_V7,Frequency,BATCH_AxiomGT1_b35_V7,Frequency,BATCH_AxiomGT1_b36_V7,Frequency,BATCH_AxiomGT1_b37_V7,Frequency,BATCH_AxiomGT1_b38_V7,Frequency,BATCH_AxiomGT1_b39_V7,Frequency,BATCH_AxiomGT1_b40_V7,Frequency,BATCH_AxiomGT1_b41_V7,Frequency,BATCH_AxiomGT1_b42_V7,Frequency,BATCH_AxiomGT1_b43_V7,Frequency,BATCH_AxiomGT1_b44_V7,Frequency,BATCH_AxiomGT1_b45_V7,Frequency,BATCH_AxiomGT1_b46_V7,Frequency,BATCH_AxiomGT1_b47_V7,Frequency,BATCH_AxiomGT1_b48_V7,Frequency,BATCH_AxiomGT1_b49_V7,Frequency,BATCH_AxiomGT1_b50_V7,Frequency,BATCH_AxiomGT1_b51_V7,Frequency,BATCH_AxiomGT1_b52_V7,Frequency,BATCH_AxiomGT1_b53_V7,Frequency,BATCH_AxiomGT1_b54_V7,Frequency,BATCH_AxiomGT1_b55_V7,Frequency,BATCH_AxiomGT1_b56_V7,Frequency,BATCH_AxiomGT1_b57_V7,Frequency,BATCH_AxiomGT1_b58_V7,Frequency,BATCH_AxiomGT1_b59_V7,Frequency,BATCH_AxiomGT1_b60_V7,Frequency,BATCH_AxiomGT1_b61_V7,Frequency,BATCH_AxiomGT1_b62_V7,Frequency,BATCH_AxiomGT1_b63_V7,Frequency,BATCH_AxiomGT1_b64_V7,Frequency,BATCH_AxiomGT1_b65_V7,Frequency,BATCH_AxiomGT1_b66_V7,Frequency,BATCH_AxiomGT1_b67_V7,Frequency,BATCH_AxiomGT1_b68_V7,Frequency,BATCH_AxiomGT1_b69_V7,Frequency,BATCH_AxiomGT1_b70_V7,Frequency,BATCH_AxiomGT1_b71_V7,Frequency,BATCH_AxiomGT1_b72_V7,Frequency,BATCH_AxiomGT1_b73_V7,Frequency,BATCH_AxiomGT1_b74_V7,Frequency,BATCH_AxiomGT1_b75_V7,Frequency,BATCH_AxiomGT1_b76_V7,Frequency,BATCH_AxiomGT1_b77_V7,Frequency,BATCH_AxiomGT1_b78_V7,Frequency,BATCH_AxiomGT1_b79_V7,Frequency,BATCH_AxiomGT1_b80_V7,Frequency,BATCH_AxiomGT1_b81_V7,Frequency,BATCH_AxiomGT1_b82_V7,Frequency,BATCH_AxiomGT1_b83_V7,Frequency,BATCH_AxiomGT1_b84_V7,Frequency,BATCH_AxiomGT1_b85_V7,Frequency,BATCH_AxiomGT1_b86_V7,Frequency,BATCH_AxiomGT1_b87_V7,Frequency,BATCH_AxiomGT1_b88_V7,Frequency,BATCH_AxiomGT1_b89_V7,Frequency,BATCH_AxiomGT1_b90_V6,Frequency,BATCH_AxiomGT1_b91_V6,Frequency,BATCH_AxiomGT1_b92_V6,Frequency,BATCH_AxiomGT1_b93_V6,Frequency,BATCH_AxiomGT1_b94_V6,Frequency,BATCH_AxiomGT1_b95_V6,Frequency,BATCH_AxiomGT1_b96_V6,Frequency,BATCH_AxiomGT1_b97_V6,Frequency,BATCH_AxiomGT1_b98_V6,Frequency,BATCH_AxiomGT1_b99_V6,Frequency,BATCH_DS1_BOTNIA_Dgi_norm,Frequency,BATCH_DS10_FINRISK_Palotie_norm,Frequency,BATCH_DS11_FINRISK_PredictCVD_COROGENE_Tarto_norm,Frequency,BATCH_DS12_FINRISK_Summit_norm,Frequency,BATCH_DS13_FINRISK_Bf_norm,Frequency,BATCH_DS14_GENERISK_norm,Frequency,BATCH_DS15_H2000_Broad_norm,Frequency,BATCH_DS16_H2000_Fimm_norm,Frequency,BATCH_DS17_H2000_Genmets_norm_relift,Frequency,BATCH_DS18_MIGRAINE_1_norm_relift,Frequency,BATCH_DS19_MIGRAINE_2_norm,Frequency,BATCH_DS2_BOTNIA_T2dgo_norm,Frequency,BATCH_DS20_SUPER_1_norm_relift,Frequency,BATCH_DS21_SUPER_2_norm_relift,Frequency,BATCH_DS22_TWINS_1_norm,Frequency,BATCH_DS23_TWINS_2_norm_nosymmetric,Frequency,BATCH_DS24_SUPER_3_norm,Frequency,BATCH_DS25_BOTNIA_Regeneron_norm,Frequency,BATCH_DS26_DIREVA_norm,Frequency,BATCH_DS27_NFBC66_norm,Frequency,BATCH_DS28_NFBC86_norm,Frequency,BATCH_DS29_FINHIT_norm,Frequency,BATCH_DS3_COROGENE_Sanger_norm,Frequency,BATCH_DS4_FINRISK_Corogene_norm,Frequency,BATCH_DS5_FINRISK_Engage_norm,Frequency,BATCH_DS6_FINRISK_FR02_Broad_norm_relift,Frequency,BATCH_DS7_FINRISK_FR12_norm,Frequency,BATCH_DS8_FINRISK_Finpcga_norm,Frequency,BATCH_DS9_FINRISK_Mrpred_norm,Frequency,APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_IRN,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_IRN,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,BMI_IRN,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,DEATH,Frequency,DEATH_FU_AGE,Frequency,cohort,Frequency,SEX_IMPUTED,Frequency,SEXAGE,Frequency,PC1,Frequency,PC2,Frequency,PC3,Frequency,PC4,Frequency,PC5,Frequency,PC6,Frequency,PC7,Frequency,PC8,Frequency,PC9,Frequency,PC10,Frequency,PC11,Frequency,PC12,Frequency,PC13,Frequency,PC14,Frequency,PC15,Frequency,PC16,Frequency,PC17,Frequency,PC18,Frequency,PC19,Frequency,PC20,Frequency
List truncated...,,DS8_FINRISK_Finpcga_norm,1414,632709,21298,Axiom_FinnGen1.r2,23099,1,85483,0,79226,1,62384,0,98563,0,82988,0,92901,1,52960,List truncated...,,0,101436,0,101437,0,101426,0,101423,0,101549,0,101518,0,101613,0,101454,0,101472,0,101460,0,101588,0,101877,0,101509,0,101565,0,101502,0,101575,0,101627,0,101558,0,101531,0,101559,0,101500,0,101578,0,101574,0,101635,0,101511,0,101973,0,101576,0,101594,0,101560,0,101565,0,101564,0,101636,0,101576,0,101579,0,101543,0,101589,0,101579,0,101618,0,101548,0,101619,0,101539,0,101582,0,101533,0,101590,0,101575,0,102261,0,101557,0,101582,0,101600,0,101562,0,101534,0,101557,0,101543,0,101578,0,101569,0,101595,0,101600,0,101543,0,101568,0,101584,0,101552,0,101570,0,101510,0,101539,0,101567,0,101566,0,101541,0,101540,0,101485,0,101509,0,101630,0,101579,0,101574,0,101538,0,101593,0,101540,0,101519,0,101618,0,101575,0,101558,0,101566,0,101536,0,101545,0,101520,0,101586,0,101549,0,101584,0,101553,0,101562,0,101481,0,101554,0,101556,0,101531,0,101526,0,101626,0,101553,0,101520,0,101517,0,101558,0,101586,0,101562,0,101543,0,101550,0,101663,0,101615,0,101547,0,101556,0,101565,0,101556,0,101588,0,101577,0,101584,0,101576,0,102299,0,101660,0,101903,0,102202,0,102206,0,100926,0,101372,0,102125,0,101928,0,101123,0,101894,0,102234,0,101452,0,101858,0,101892,0,101672,0,101941,0,101148,0,101600,0,101461,0,101808,0,102272,0,101893,0,101983,0,101239,0,102051,0,101647,0,100911,0,101883,List truncated...,,2019,15273,,177,female,57464,,27613,,27613,,74537,,26537,,26537,,74657,,28079,,28079,no,47333,,41796,,90594,,55860,,41794,,83000,1,19264,Uusimaa,19264,,101969,2,35802,0,85171,List truncated...,,HELSINKI_BIOBANK,22708,1,57464,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,,List truncated...,
,,DS14_GENERISK_norm,1399,636482,14070,Axiom_FinnGen2.r5,20840,0,16842,1,23099,0,39941,1,3762,1,19337,1,9424,0,49365,,,1,889,1,888,1,899,1,902,1,776,1,807,1,712,1,871,1,853,1,865,1,737,1,448,1,816,1,760,1,823,1,750,1,698,1,767,1,794,1,766,1,825,1,747,1,751,1,690,1,814,1,352,1,749,1,731,1,765,1,760,1,761,1,689,1,749,1,746,1,782,1,736,1,746,1,707,1,777,1,706,1,786,1,743,1,792,1,735,1,750,1,64,1,768,1,743,1,725,1,763,1,791,1,768,1,782,1,747,1,756,1,730,1,725,1,782,1,757,1,741,1,773,1,755,1,815,1,786,1,758,1,759,1,784,1,785,1,840,1,816,1,695,1,746,1,751,1,787,1,732,1,785,1,806,1,707,1,750,1,767,1,759,1,789,1,780,1,805,1,739,1,776,1,741,1,772,1,763,1,844,1,771,1,769,1,794,1,799,1,699,1,772,1,805,1,808,1,767,1,739,1,763,1,782,1,775,1,662,1,710,1,778,1,769,1,760,1,769,1,737,1,748,1,741,1,749,List truncated...,,1,665,1,422,1,123,1,119,1,1399,1,953,1,200,1,397,1,1202,1,431,1,91,1,873,1,467,1,433,1,653,1,384,1,1177,1,725,1,864,1,517,1,53,1,432,1,342,1,1086,1,274,1,678,1,1414,1,442,,,2018,12292,52.0,66,male,44861,170,4153,0.0286473382750529,4153,List truncated...,,80,2727,0.150775873298606,2727,List truncated...,,28.7,1004,0.430707828822153,1004,,38635,never,30640,never,6258,0,30641,0,30641,List truncated...,,2,10503,Varsinais-Suomi,10503,1,356,0,22702,1,17154,,,AURIA_BIOBANK,11853,0,44861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DS18_MIGRAINE_1_norm_relift,1202,636403,7038,Axiom_FinnGen2.r1_3,16038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,12172,40.0,65,,,168,3664,-0.174363472409053,3664,,,70,2609,-0.457055365095835,2609,,,29.4,987,0.555458622173916,987,yes,16357,current,15823,former,2597,1,15824,1,29890,,,17,8992,North_Ostrobothnia,8992,,,3,17914,,,,,BLOOD_SERVICE_BIOBANK,11195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DS25_BOTNIA_Regeneron_norm,1177,637117,5346,Axiom_FinnGen2.r4,13163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10046,55.0,63,,,165,3238,-0.469620808935189,3238,,,75,2200,-0.142254281785611,2200,,,28.4,962,0.376939065517802,962,,,former,14066,current,2238,,,,,,,6,8866,Pirkanmaa,8866,,,1,16988,,,,,TAMPERE_BIOBANK,7663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DS5_FINRISK_Engage_norm,1086,636483,5300,Axiom_FinnGen2.r2,8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,8839,46.0,62,,,160,3185,-1.05757915205782,3185,,,78,2059,0.0299056900522689,2059,,,24.2,902,-0.52694865793486,902,,,,,occasional,479,,,,,,,11,7700,Pohjois-Savo,7700,,,4,5743,,,,,BIOBANK_OF_EASTERN_FINLAND,5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DS15_H2000_Broad_norm,953,636404,4557,Axiom_FinnGen2.r3,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,8832,47.0,62,,,172,2987,0.220814459637583,2987,,,72,2028,-0.330163329153537,2028,,,28.1,832,0.321270282123195,832,,,,,quitter,159,,,,,,,13,5761,Central_Finland,5761,,,5,1633,,,,,TERVEYSTALO_BIOBANK,4811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b04_V4,902,637111,3978,GSAMD_24v1_0_20011747_A1,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,3801,49.0,62,,,164,2857,-0.589647250881654,2857,,,90,2025,0.703991502008946,2025,,,26.0,816,-0.108118233336877,816,,,,,,,,,,,,,12,4723,North_Karelia,4723,,,6,603,,,,,BOREALIS_BIOBANK,4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b03_V4,899,637114,3758,HumanCoreExome_12v1_0_A,1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,3746,50.0,60,,,162,2802,-0.825547317987501,2802,,,85,1890,0.43898299303187,1890,,,30.1,815,0.673923852712095,815,,,,,,,,,,,,,4,4574,Satakunta,4574,,,,227,,,,,THL_BIOBANK_ATBC,3791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b01_V4,889,637116,2360,Illumina_HumanCoreExome_12v1.1a,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,3284,54.0,60,,,180,2791,1.01195789301416,2791,,,82,1863,0.267055955865752,1863,,,27.8,786,0.264636404070598,786,,,,,,,,,,,,,14,3991,South_Ostrobothnia,3991,,,7,224,,,,,CENTRAL_FINLAND_BIOBANK,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AxiomGT1_b02_V4,888,636481,2275,lllumina_HumanCoreExome_24v1_0_A,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,2484,48.0,59,,,178,2724,0.801763936492787,2724,,,65,1825,-0.785473334564473,1825,,,27.5,774,0.204600688280279,774,,,,,,,,,,,,,15,3809,Ostrobothnia,3809,,,8,148,,,,,THL_BIOBANK_FUSION,2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
