EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,RESEPTISTATUS,Frequency,DIS_AMOUNT_CALC_TXT,Frequency,DIS_AMT_VALUE,Frequency,DIS_AMOUNT_TXT,Frequency,DIS_AMT_UNIT,Frequency,DELIVERY_FEE,Frequency,MED_EXCHANGED,Frequency,DOSE_DISTRIBUTION,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE1,Frequency,PRODUCT_CODE2,Frequency,PRODUCT_CODE3,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency
69.165,58,2022-10-12,221,List truncated...,,List truncated...,,1,470725,,306155,,199074,,494771,fol,130104,9.77,7984,0,423306,0,449108,C07AB07,16155,1.0,412510,,15271,,498942,,499987,235,172155,THYROXIN,11953,10 MG,20617
70.805,56,2023-06-05,216,,,,,,15450,1X100,26533,100.0,78910,1x100,268,FOL,116458,8.69,6685,1,76694,1,50892,N02BE01,14889,,74229,383992,10398,453522,95,List truncated...,,173,123871,PANADOL FORTE,10416,5 MG,19621
68.037,54,2023-12-14,207,,,,,0,13825,1x1X100,24262,14.0,33754,1X100kpl,190,kpl,108022,6.81,2841,,,,,H03AA01,12481,6.0,6202,193102,7962,371722,89,,,16,23768,BURANA,8171,10 mg,19390
70.064,54,2023-06-08,207,,,,,,,1X98,9076,98.0,26196,1x60 suihketta (,183,KPL,52276,20.78,2469,,,,,C10AA05,9777,2.0,4014,098460,5541,078623,83,,,250,18770,SOMAC,7582,5 mg,18373
66.545,53,2023-11-15,205,,,,,,,1x1X98,8628,30.0,23552,1X100fol,163,ml,16134,14.37,2085,,,,,A02BC02,9741,7.0,1184,552208,4198,030627,75,,,28,17768,ATORVASTATIN ORION,6304,20 MG,16321
75.402,53,2023-10-17,205,,,,,,,1x1X30,6951,28.0,20122,1X98fol,158,ML,14871,7.98,1837,,,,,M01AE01,9337,4.0,694,193086,3953,019758,58,,,,15450,FURESIS,5706,,15855
73.204,53,2022-12-15,205,,,,,,,1X30,6666,200.0,13251,1x23g (120annost,116,annosta,12284,34.54,1608,,,,,A10BA02,9034,5.0,615,019874,3104,List truncated...,,,,462,9538,METFOREM,5678,20 mg,14087
74.102,53,2023-09-20,204,,,,,,,2X100,4344,60.0,9048,1X100FOL,106,g,11906,13.72,1601,,,,,C08CA01,9001,3.0,332,537944,2944,,,,,344,6745,VAGIFEM,5548,40 MG,9545
68.706,53,2022-12-29,204,,,,,,,2x1X100,3640,90.0,7750,1X98FOL,99,G,9914,5.69,1590,,,,,C10AA01,8615,11.0,158,186376,2545,,,,,45,6632,PANACOD,5189,40 mg,8831
68.569,53,2023-12-06,203,,,,,,,1x1X28,3042,20.0,7412,1X100KPL,81,ANNOSTA,7461,20.41,1556,,,,,G03CA03,8243,List truncated...,,124347,2538,,,,,352,6078,BISOPROLOL RATIOPHARM,4825,500 MG,8433
70.962,53,2022-12-05,202,,,,,,,1X28,2987,180.0,5626,1X10+10,68,,5175,8.85,1554,,,,,A12AX,7757,,,040148,2527,,,,,330,5842,SIMVASTATIN ORION,3988,100 MG,8388
66.855,52,2020-03-21,200,,,,,,,1X90,2403,24.0,5187,3x60 suihketta (,68,tabl,3470,8.02,1336,,,,,C09CA01,6348,,,486605,2334,,,,,281,5784,PREDNISOLON,3779,100 mg,6927
73.489,52,2023-06-03,200,,,,,,,1X60,2238,120.0,4782,1X100 fol,59,ANNOS,3153,6.38,1251,,,,,C03CA01,5993,,,490086,2228,,,,,328,5708,CARDACE,3756,500 mg,6868
69.05,52,2022-12-14,199,,,,,,,1x1X20,2192,56.0,4724,1x100 TABL,57,TABL,1619,10.61,1238,,,,,C10AA07,5844,,,119478,2149,,,,,139,5365,ELIQUIS,3562,50 MG,6837
72.752,52,2021-12-16,199,,,,,,,1x1X90,1946,10.0,4503,1X11+42,57,annos,1443,40.86,1197,,,,,C09AA05,5719,,,002087,1998,,,,,17,5149,AMLODIPIN ORION,3436,1 G,6353
65.801,51,2023-07-04,198,,,,,,,1x1X60,1901,50.0,3639,List truncated...,,DOS,1304,18.83,1196,,,,,R03AC02,5438,,,052300,1980,,,,,349,4021,KEFEXIN,3329,50 mg,5768
74.833,51,2022-12-10,197,,,,,,,1X20,1827,84.0,3440,,,suihketta,638,16.82,1186,,,,,C09CA06,5349,,,088261,1942,,,,,234,3488,KETIPINOR,3152,2,5 mg,5746
73.486,51,2022-12-23,197,,,,,,,2x100,1653,42.0,2867,,,mg,599,6.71,1158,,,,,N06AX11,4434,,,557827,1897,,,,,14,3316,CALCICHEW D3 FORTE SITRUUNA,3125,25 MG,5544
70.329,51,2023-02-28,197,,,,,,,1X24,1620,300.0,2854,,,MG,431,9.62,1129,,,,,N05CF01,4226,,,108969,1897,,,,,655,3188,MIRTAZAPIN ORION,3009,25 mg,5421
68.894,51,2023-08-17,197,,,,,,,1X120,1546,7.0,2632,,,kaps,241,10.83,1113,,,,,N05AH04,4146,,,167770,1729,,,,,225,3098,OPAMOX,2790,15 MG,4455
71.334,51,2022-09-29,196,,,,,,,1x1X24,1375,12.0,2508,,,dos,196,18.29,1112,,,,,A02BC05,3971,,,545319,1711,,,,,244,3087,LOSATRIX,2716,15 mg,4187
70.017,51,2023-11-10,196,,,,,,,1x1X10,1284,1.0,2315,,,tabletti,190,10.75,1104,,,,,M01AH05,3922,,,024310,1705,,,,,543,3027,IMOVANE,2677,1 g,4074
65.916,50,2020-03-10,196,,,,,,,1X180,1262,15.0,2187,,,ANN,180,8.56,1074,,,,,H02AB06,3803,,,476861,1705,,,,,541,2917,ORLOC,2676,2,5 MG,3854
65.716,50,2022-12-17,195,,,,,,,1x1X120,1238,400.0,2113,,,tbl,164,1.67,1060,,,,,J01DB01,3684,,,584609,1681,,,,,29,2663,SIMVASTATIN RATIOPHARM,2545,100 MIKROG,3707
64.004,50,2023-01-07,195,,,,,,,3X100,1222,196.0,2061,,,UD,162,19.51,1052,,,,,S01XA20,3599,,,425975,1671,,,,,498,2386,VENTOLINE DISKUS,2538,600 MG,3634
75.726,50,2023-12-15,194,,,,,,,1x1X200,1185,500.0,1924,,,pakkaus,135,17.87,1050,,,,,C07AB02,3566,,,552190,1623,,,,,224,2300,CANDESARTAN ORION,2518,300 MG,3492
74.551,50,2023-12-17,194,,,,,,,1x1X180,1133,4.0,1778,,,tabl.,122,8.45,1038,,,,,B01AF02,3565,,,059969,1622,,,,,66,2035,BISOPROLOL SANDOZ,2511,1000 mg,3389
73.869,50,2023-11-01,193,,,,,,,1x100,1106,1000.0,1571,,,tablettia,114,13.38,1026,,,,,N05BA04,3535,,,023635,1586,,,,,251,2004,LOSARTAN ORION,2477,150 MG,3362
69.138,50,2022-12-16,193,,,,,,,1x1X50,1093,5.0,1426,,,suihk,105,7.92,994,,,,,N02AJ06,3504,,,403048,1562,,,,,605,1987,AMLORATIO,2446,100 mikrog,3356
68.711,50,2022-08-31,193,,,,,,,1X50,1075,6.0,1294,,,TABL.,84,9.83,993,,,,,B01AA03,3370,,,087312,1542,,,,,210,1812,DIFORMIN RETARD,2391,300 mg,3259
70.663,50,2022-11-08,193,,,,,,,3x1X100,1034,3.0,1095,,,KAPS,79,9.58,978,,,,,N05CH01,3300,,,547968,1510,,,,,350,1745,XARELTO,2386,500 mg/10 mikrog,3001
68.695,50,2023-11-27,192,,,,,,,1X200,1010,40.0,1064,,,TBL,66,7.71,959,,,,,G04CA02,2978,,,185983,1496,,,,,510,1651,MAREVAN FORTE,2335,500/30 MG,2856
70.723,50,2022-12-12,192,,,,,,,1X10,983,8.0,1064,,,suihketta(,65,25.97,957,,,,,N03AX16,2956,,,425967,1495,,,,,143,1619,SIRDALUD,2243,75 MG,2834
70.844,50,2023-04-20,192,,,,,,,1x1X14,934,360.0,901,,,PAKKAUS,62,14.99,945,,,,,C08CA13,2828,,,434993,1492,,,,,177,1547,TRIPTYL,2240,1 mg,2776
71.298,50,2021-12-23,192,,,,,,,2X98,906,25.0,870,,,U,56,10.87,933,,,,,C09AA02,2787,,,428896,1488,,,,,159,1541,LYRICA,2223,10 MIKROG,2686
71.348,50,2020-03-25,191,,,,,,,1X1,901,150.0,864,,,List truncated...,,14.36,931,,,,,G04BE03,2696,,,420914,1481,,,,,136,1006,ZANIDIP,2127,100 U/ML,2675
75.81,50,2023-10-03,191,,,,,,,1x1X56,834,21.0,839,,,,,12.07,911,,,,,N06AB10,2638,,,079745,1426,,,,,564,937,TENOX,2106,10 mikrog,2637
List truncated...,,2023-10-05,191,,,,,,,1x3X28,831,140.0,768,,,,,9.87,906,,,,,R06AE07,2603,,,541965,1331,,,,,149,914,KALCIPOS-D,2070,600 mg,2624
,,2022-12-30,191,,,,,,,1X56,820,2.0,766,,,,,13.57,903,,,,,L04AX03,2587,,,047534,1321,,,,,869,757,OFTAGEL,1999,200 MIKROG/ANNOS,2545
,,2023-12-10,191,,,,,,,2X30,710,3.5,697,,,,,5.8,870,,,,,R03AK07,2557,,,425959,1320,,,,,889,735,AVAMYS,1956,750 MG,2519
,,2022-07-08,191,,,,,,,1X14,683,112.0,670,,,,,36.37,820,,,,,N02AX02,2528,,,585786,1251,,,,,200,733,BISOPROLOL ORION,1935,75 mg,2440
,,2023-08-24,191,,,,,,,2x1X30,670,0.5,638,,,,,18.25,793,,,,,M03BX02,2469,,,588994,1240,,,,,565,724,PARA-TABS,1924,3 mg,2365
,,2023-09-28,190,,,,,,,2x1X98,660,240.0,632,,,,,17.78,776,,,,,N06AX16,2454,,,000976,1239,,,,,206,706,AMORION,1909,3 MG,2283
,,2022-03-22,190,,,,,,,1X3X28,656,7.5,617,,,,,7.82,754,,,,,J01CA04,2432,,,063219,1200,,,,,245,689,DUACT,1874,30 MG,2277
,,2022-12-19,190,,,,,,,4X100,639,63.0,596,,,,,13.78,749,,,,,C01DA14,2427,,,444089,1192,,,,,13,673,VENLAFAXIN ORION,1845,2 MG,2205
,,2023-12-07,190,,,,,,,1X12,584,18.0,549,,,,,10.76,747,,,,,B01AF01,2388,,,479543,1177,,,,,535,633,METOHEXAL,1832,150 mg,2186
,,2020-12-17,189,,,,,,,3X60,583,168.0,538,,,,,13.19,740,,,,,R01BA52,2364,,,076033,1171,,,,,839,616,LIPCUT,1776,400 MG,2180
,,2022-09-08,189,,,,,,,1X500,573,48.0,525,,,,,12.88,728,,,,,N06AA09,2320,,,016919,1147,,,,,194,558,TREXAN,1766,1 MG,2179
