EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,DOC_TYPE_CODE,Frequency,DOC_VERSION,Frequency,TYPE_1_AMOUNT,Frequency,TYPE_1_SIZE,Frequency,TYPE_2_AMOUNT,Frequency,TYPE_2_SIZE_UNIT,Frequency,TYPE_3_TIME,Frequency,TYPE_3_UNIT,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE,Frequency,RESEPTISTATUS,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency,RENEWAL_BAN,Frequency,MED_EXCHANGE_BAN,Frequency,DOSE_DISTRIBUTION,Frequency,ORGANIZATION_OID_SALATTU,Frequency,ERIKOISALA_CODE,Frequency
69.924,54,2017-04-13,183,List truncated...,,List truncated...,,1,476872,1,476872,1.0,206435,,107036,,496176,,496186,,396808,,396809,N02BE01,21951,1.0,366414,,29866,1.0,447381,235.0,163542,BURANA,15191,10 mg,35365,0,498720,0,497042,0,492514,12A7BDF6408B077325D1E5EC82120AB6,13740,76111-222,122437
63.257,52,2017-01-11,182,,,,,2,13136,2,21262,,107018,100 kpl,68135,100.0,1037,fol,1038,2.0,27188,d,48508,M01AE01,17516,,107037,383992,13180,,29915,173.0,106062,PANADOL FORTE,13377,5 mg,29363,1,1280,1,2958,1,7486,FFF79CA0590BB6FFEE99ADBC749C5D04,11728,76111,90209
67.49,52,2023-03-13,180,,,,,3,9992,3,1467,2.0,53762,100 fol,44238,200.0,342,kpl,679,365.0,22576,a,45622,,11035,9.0,16018,552208,8099,0.0,22704,,29915,PANACOD,9434,20 mg,26121,,,,,,,126C65C23B597E9846C366A83BF15EA3,8967,,65205
68.971,52,2019-06-04,179,,,,,,,4,268,4.0,50214,30 fol,29305,30.0,278,tabletti,400,1.0,19732,mo,8706,A02BC02,10395,2.0,4409,193102,4358,,,250.0,23062,SOMAC,9198,500 mg,20279,,,,,,,A5BF03B75B0347AA7B074D62CA546DC4,5981,86173-680,50717
62.693,51,2017-05-22,178,,,,,,,5,78,3.0,26667,98 fol,24900,400.0,258,tabl,368,730.0,16679,wk,351,C07AB07,8978,6.0,3379,425967,3232,,,16.0,19275,KEFEXIN,7055,,18343,,,,,,,3692236D095C41A1416D2841CB3B90EA,3975,98,19392
65.023,51,2019-03-13,178,,,,,,,List truncated...,,8.0,18336,20 fol,20326,800.0,151,g,250,24.0,3058,List truncated...,,J01DB01,8034,7.0,1224,124347,3116,,,28.0,16493,THYROXIN,6549,100 mg,16980,,,,,,,F39BF78C7D6A26CD2C27A9A0EFE0A21C,3346,86167-670,14643
70.981,51,2017-04-05,178,,,,,,,,,6.0,11903,30 kpl,17616,1.0,138,tbl,160,12.0,2239,,,R03AC02,7165,4.0,718,169275,3021,,,17.0,10039,PREDNISOLON,5358,1 g,16296,,,,,,,CA3555E1A77B3663A08326A9B6769BA0,2897,86173-656,12915
65.784,50,2017-03-14,177,,,,,,,,,5.0,6672,28 fol,14526,300.0,134,tablettia,149,6.0,1421,,,M01AH05,7150,10.0,393,552190,2987,,,344.0,8789,ARCOXIA,4729,40 mg,16192,,,,,,,8D563A5B8FA87871FFDD1AA18DCAAE49,2051,66111-901,9955
67.914,50,2017-02-07,177,,,,,,,,,12.0,6633,14 fol,8445,20.0,101,ml,139,3.0,1004,,,H03AA01,6962,3.0,245,490086,2923,,,462.0,6751,PARA-TABS,4447,600 mg,12830,,,,,,,42490EEF1AAB2A627642CF56ADA6FD2E,1940,86171-430,9201
List truncated...,,2022-11-18,177,,,,,,,,,10.0,4377,50 fol,6682,60.0,80,List truncated...,,30.0,969,,,N02AJ06,6216,11.0,157,425959,2886,,,45.0,6732,DUACT,4394,50 mg,11840,,,,,,,3462C23CA0D1C7962C90B2D9F156038B,1886,86181-500,6707
,,2017-03-25,176,,,,,,,,,16.0,1804,10 fol,6487,50.0,76,,,7.0,889,,,G03CA03,6053,List truncated...,,428896,2685,,,349.0,5532,SIRDALUD,4333,25 mg,11044,,,,,,,7A5AB171D1016CD86F877F878D3346DF,1870,76111-111,6666
,,2023-12-06,174,,,,,,,,,24.0,1238,24 fol,6361,2.0,62,,,400.0,787,,,N05CF01,5781,,,547968,2538,,,352.0,5418,AMORION,4079,500/30 mg,9591,,,,,,,8A206CDBB92E082958F75E3E2F6CEF90,1853,86111-590,5397
,,2019-12-04,174,,,,,,,,,7.0,863,120 annosta,5346,10.0,58,,,180.0,688,,,H02AB06,5713,,,434993,2522,,,330.0,4696,IMOVANE,3999,15 mg,9572,,,,,,,BF9ABE1CBC4D559A3185B9F738C4D7B2,1815,86161-580,4711
,,2017-10-22,174,,,,,,,,,20.0,788,56 fol,5271,150.0,58,,,90.0,650,,,J01CA04,5533,,,425975,2262,,,328.0,4476,VAGIFEM,3945,150 mg,7944,,,,,,,787BCEEE57F82F13A956469C71D99F00,1756,86162-370,3043
,,2017-06-05,173,,,,,,,,,15.0,745,100 g,5087,130.0,56,,,800.0,598,,,C10AA05,5522,,,167770,2243,,,29.0,4281,OPAMOX,3821,300 mg,7457,,,,,,,669B19B66F899D39381FBE37A39AF4D3,1674,86183-440,2932
,,2019-02-13,173,,,,,,,,,9.0,705,60 annosta,4973,40.0,53,,,10.0,478,,,C08CA01,5368,,,193086,2181,,,281.0,4181,FURESIS,3627,750 mg,6882,,,,,,,78F17B9D00F4A6DC2113393B2D26550A,1635,86115-170,2696
,,2017-02-01,173,,,,,,,,,30.0,237,60 fol,4383,600.0,51,,,720.0,425,,,R01BA52,5238,,,98460,1958,,,541.0,4077,KETIPINOR,3570,2,5 mg,6649,,,,,,,19CC26EC31AE3EAE50EC187BDA027A52,1624,76211,2679
,,2017-11-20,173,,,,,,,,,13.0,234,10 ml,4189,List truncated...,,,,5.0,381,,,A10BA02,4931,,,098460,1923,,,234.0,3961,ATORVASTATIN ORION,3282,75 mg,6145,,,,,,,C47737D29B5DA55AB7F4BAD2BC962756,1623,86175-140,2617
,,2019-11-07,172,,,,,,,,,14.0,223,30 g,3848,,,,,14.0,282,,,C10AA01,4733,,,545319,1817,,,655.0,3685,VENTOLINE DISKUS,3116,200 mikrog/annos,6122,,,,,,,0501BB9CA97FC674E2415A9891AE9C34,1485,76111-666,2455
,,2021-01-28,172,,,,,,,,,18.0,163,200 annosta,3801,,,,,4.0,272,,,M03BX02,4693,,,557827,1810,,,244.0,3374,TENOX,2791,2 mg,5683,,,,,,,7DA9B27CADB012D5F9286D183E94E2CE,1464,66111-900,2421
,,2017-05-07,172,,,,,,,,,25.0,107,90 fol,3318,,,,,731.0,242,,,N05BA04,4689,,,537944,1774,,,14.0,3329,LYRICA,2780,7,5 mg,5565,,,,,,,8BE8D28E8C46EAFCD2A709783F39CAE0,1464,86131-230,2153
,,2019-10-28,172,,,,,,,,,32.0,101,10 kpl,3077,,,,,366.0,198,,,A12AX,4637,,,550111,1502,,,139.0,3275,LEPONEX,2626,400 mg,5300,,,,,,,A09650237D2B2EE906EFF139F0E27592,1408,76211-111,1942
,,2017-06-06,171,,,,,,,,,50.0,84,5 ml,2812,,,,,364.0,190,,,N05AH04,4339,,,474551,1489,,,159.0,3068,AVAMYS,2623,1000 mg,5172,,,,,,,5805912D673A5936E9E18707BCCC718C,1350,86167-656,1895
,,2023-11-02,171,,,,,,,,,11.0,70,50 g,2711,,,,,100.0,186,,,N02AX02,4049,,,486605,1487,,,177.0,2956,METFOREM,2612,800 mg,5034,,,,,,,8B8C9781B409219F5A059AEC4A067F64,1337,86115-160,1725
