EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,START_YEAR,Frequency,KIDNEY_DISEASE_DIAGNOSIS_1,Frequency,KIDNEY_DISEASE_DIAGNOSIS_2,Frequency,ERA_EDTA_DIAGNOSIS,Frequency,EDTA_DIAGNOSIS_OLD,Frequency,APPROX_END_DATE_OF_TRACKING,Frequency,END_OF_TRACKING_AGE,Frequency,HEIGHT,Frequency,WEIGHT,Frequency,SYSTOLIC_BLOOD_PRESSURE,Frequency,DIASTOLIC_BLOOD_PRESSURE,Frequency,CHOLESTEROL,Frequency,HDL_CHOLESTEROL,Frequency,TRIGLYCERIDE,Frequency,PREVIOUS,Frequency,CURRENT,Frequency,APPROX_START_DATE_OF_NERF_TRACKING,Frequency,START_OF_NERF_TRACKING_AGE,Frequency,ANGINA_PECTORIS,Frequency,HEART_ATTACK,Frequency,BYPASS_OR_OTHER_PROCEDURE,Frequency,LEFT_VENTRICULAR_HYPERTROPHY,Frequency,HEART_FAILURE,Frequency,OTHER_VASCULAR_DISEASE,Frequency,OTHER_VASCULAR_DISEASE_ENTRY,Frequency,OTHER_VASCULAR_DISEASE_AMPUTATION,Frequency,DYSLIPIDEMIA_DIET_TREATMENT,Frequency,DYSLIPIDEMIA_MEDICAL_TREATMENT,Frequency,STROKE,Frequency,RR_MEDICAL_TREATMENT,Frequency,T1D,Frequency,T2D,Frequency,UNKNOWN_TYPE_OF_DIABETES,Frequency,IV_IRON,Frequency,VITAMIN_D_TREATMENT,Frequency,EPO_TREATMENT,Frequency,FISTULA_IN_FIRST_DIALYSIS_TREATMENT,Frequency,APPROX_DIABETES_DATE,Frequency,DIABETES_AGE,Frequency,REASON_FOR_TERMINATION_OF_ACTIVE_TREATMENT,Frequency,PREVIOUS_FORM_OF_TREATMENT,Frequency,CURRENT_FORM_OF_TREATMENT,Frequency,TYPE_OF_CHANGE,Frequency,YEAR,Frequency,FISTULA,Frequency,ANTIHYPERTENSIVE_DRUG,Frequency,ESA_TREATMENT,Frequency,DIALYSIS_PER_WEEK,Frequency,DIALYSIS_H_PER_WEEK,Frequency,AZATHIOPRINE,Frequency,CICLOSPORIN,Frequency,TACROLIMUS,Frequency,MYCOPHENOLATE,Frequency,STEROIDS,Frequency,OTHER_IMMUNOSUPPRESSIVE,Frequency,ON_TRANSFER_LIST_OR_NOT,Frequency,PRODUCTION_OF_URINE,Frequency,PERITONITIS_PER_YEAR,Frequency
0.0,24875,,24875,,31622,,31622,,34123,,32808,,31628,,33514,,33514,,31678,,31687,,31710,,31711,,32217,,32321,,32324,,32275,,32154,,32720,,32720,,31978,,31959,,31958,,32060,,32129,,31968,,31966,,31963,,32388,,32006,,31968,,31951,0,22950,0,22480,0,26847,,23427,,31827,,31802,,31623,,25977,,25977,,31622,,28436,,24875,,27653,,9525,,27185,1,19229,,24440,,25023,,25064,0,20409,0,14624,0,19805,0,15302,0,15706,0,24663,,22042,,29685,,21059
List truncated...,,List truncated...,,2019,227,Q612,371,List truncated...,,2316,267,80,861,List truncated...,,List truncated...,,0,279,0.0,279,0,279,0,279,0.0,279,0.0,280,0.0,279,0,1253,0,1921,List truncated...,,List truncated...,,0,2122,0,2172,0,2152,0,1719,0,2105,0,2224,0,2289,0,2351,0,1084,1,1292,0,2222,1,2069,,6897,,6922,,7031,0,6497,1,1648,1,1540,0,1833,2005-08-21,54,6.0,57,Alive in treatment,1880,21,2571,21,3598,T,4320,2021,1956,1,4670,,10040,0,5226,3.0,4863,0.0,3302,,9525,1,10251,,9525,1,9573,,9525,,9525,0,10085,0,2287,0,12850
,,,,2020,226,N083*E102,367,,,2718,222,41,370,,,,,170,148,List truncated...,,140,76,80,144,4.0,89,List truncated...,,List truncated...,,1,872,1,325,,,,,1,300,1,269,1,290,1,621,1,166,1,208,1,145,1,86,1,928,0,1102,1,210,0,380,1,4553,2,4426,3,482,1,4476,0,925,0,1058,1,469,2017-08-30,51,57.75,54,Died during treatment,738,13,1003,51,2608,H,1641,2020,1898,0,1334,0,5131,1,4734,0.0,3298,12.0,2729,1,4466,,9525,1,5070,,9525,1,9169,1,212,1,2273,1000,232,1,352
,,,,2017,196,N083*E112,269,,,2337,183,0,281,,,,,180,131,,,150,70,70,89,3.7,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,572,List truncated...,,,,,,,,2,245,1972-06-16,50,66.39,51,Treatment terminated, uremic,99,11,876,13,954,D,786,2019,1778,2,1025,,,,,2.0,442,13.5,1062,,,,,,,,,,,,,,,500,179,2,92
,,,,2021,179,N189,257,,,1128,139,12,235,,,,,178,106,,,160,64,90,78,3.8,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,222,List truncated...,,List truncated...,,List truncated...,,51,561,11,907,,,2018,1635,3,186,,,,,5.0,373,15.0,848,,,,,,,,,,,,,,,200,127,List truncated...,
,,,,2018,178,N082*D8980,212,,,3555,126,19,115,,,,,173,105,,,130,61,75,78,3.4,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,List truncated...,,,,,,,,22,493,23,745,,,2017,1517,,,,,,,4.0,332,8.0,327,,,,,,,,,,,,,,,1500,120,,
,,,,2016,153,I120,110,,,2359,65,71,110,,,,,165,104,,,List truncated...,,79,69,4.2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,397,22,433,,,2016,1357,,,,,,,List truncated...,,12.5,133,,,,,,,,,,,,,,,100,110,,
,,,,2015,135,N0839*E112,89,,,List truncated...,,20,92,,,,,175,103,,,,,85,67,3.6,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,List truncated...,,71,178,,,2015,1233,,,,,,,,,13.0,117,,,,,,,,,,,,,,,2000,100,,
,,,,2013,113,N0839*E102,82,,,,,17,77,,,,,172,101,,,,,83,66,4.4,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,60,,,2014,1130,,,,,,,,,9.0,110,,,,,,,,,,,,,,,800,96,,
,,,,2012,98,N188,61,,,,,99,70,,,,,176,99,,,,,88,65,4.1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,List truncated...,,,,2013,1053,,,,,,,,,14.0,98,,,,,,,,,,,,,,,600,94,,
