APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,COHORT,Frequency,DEATH,Frequency,DEATH_APPROX_EVENT_DAY,Frequency,DEATH_FU_AGE,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency
1966-02-17,57,2019,74808,52.0,324,female,281911,,135544,,363769,,130044,,364291,,137822,no,230677,,204451,,443909,,272009,,204447,,406224,1,93291,Uusimaa,93291,,498336,2,169733,HELSINKI BIOBANK,113816,0,439710,,439710,77.61,210,77.61,210
1945-09-09,56,2018,60295,42.0,293,male,218089,170,20316,55.59,68,80,13360,56.77,64,28.7,5439,,189144,never,150369,never,30079,0,150371,0,150371,31.35,70,2,50715,Varsinais-Suomi,50715,1,1664,0,118528,AURIA BIOBANK,58007,1,60290,List truncated...,,67.06,193,67.06,193
1945-09-06,56,2020,59719,49.0,291,,,168,17690,56.08,66,70,12782,58.93,63,29.4,4854,yes,80179,current,77618,former,12292,1,77620,1,145182,31.31,67,17,42908,North Ostrobothnia,42908,,,3,85416,BLOOD SERVICE BIOBANK,54504,,,,,56.98,179,56.98,179
1966-04-21,55,2021,49462,48.0,290,,,165,16043,55.85,66,75,11076,58.65,63,28.4,4656,,,former,67562,current,10769,,,,,31.26,64,6,41941,Pirkanmaa,41941,,,1,83914,TAMPERE BIOBANK,37132,,,,,56.62,177,56.62,177
1945-09-07,55,2022,43514,50.0,277,,,160,15429,55.0,65,78,9833,61.98,63,24.2,4385,,,,,occasional,2145,,,,,31.22,63,11,36556,Pohjois-Savo,36556,,,4,27213,BIOBANK OF EASTERN FINLAND,26444,,,,,57.08,176,57.08,176
1945-09-23,55,2017,43407,44.0,272,,,172,14986,59.02,64,72,9807,59.8,63,26.0,4120,,,,,quitter,806,,,,,31.02,63,13,27451,Central Finland,27451,,,5,7968,TERVEYSTALO BIOBANK,23472,,,,,71.03,171,71.03,171
1966-04-10,53,1992,18422,51.0,271,,,164,14269,56.03,63,90,9708,62.24,62,30.1,3849,,,,,,,,,,,31.0,62,12,22551,North Karelia,22551,,,6,2950,BOREALIS BIOBANK,20857,,,,,57.1,170,57.1,170
1945-08-24,53,2016,18211,55.0,271,,,180,13498,55.88,63,85,9474,60.15,62,24.8,3747,,,,,,,,,,,31.06,61,4,21450,Satakunta,21450,,,7,1207,THL BIOBANK ATBC,17954,,,,,57.16,169,57.16,169
1966-04-15,52,1997,15448,41.0,268,,,162,13482,55.34,63,65,9063,63.7,61,28.1,3736,,,,,,,,,,,31.09,61,19,19585,Lapland,19585,,,,868,BIOBANK OF CENTRAL FINLAND,13306,,,,,56.95,168,56.95,168
1945-08-23,52,2007,11787,53.0,263,,,175,13434,59.17,63,68,8903,62.38,61,26.3,3700,,,,,,,,,,,30.99,60,15,18761,Ostrobothnia,18761,,,8,658,THL BIOBANK TWINS,12954,,,,,77.7,167,77.7,167
1966-09-26,52,2002,10919,54.0,261,,,178,13117,50.67,62,82,8865,59.68,61,27.8,3690,,,,,,,,,,,31.05,59,14,18406,South Ostrobothnia,18406,,,9,440,THL BIOBANK BOTNIA,11304,,,,,77.64,166,77.64,166
1945-09-01,52,2012,8226,46.0,261,,,174,12917,55.92,62,74,8725,57.46,60,27.5,3570,,,,,,,,,,,30.97,59,8,15761,Kymenlaakso,15761,,,10,323,THL BIOBANK FUSION,11234,,,,,57.05,164,57.05,164
1966-04-13,51,1993,6490,40.0,259,,,163,12786,55.04,62,60,8353,62.16,60,26.6,3501,,,,,,,,,,,31.03,58,10,15643,Etelä-Savo,15643,,,11,285,THL BIOBANK T1D,9949,,,,,57.12,164,57.12,164
1966-09-15,51,2001,6188,43.0,259,,,167,12346,59.68,62,76,8030,59.99,60,31.2,3477,,,,,,,,,,,31.34,57,200,13204,Abroad,13204,,,12,188,THL BIOBANK SUPER,8227,,,,,56.81,163,56.81,163
1966-09-02,51,2011,6166,45.0,255,,,176,12214,58.71,61,73,7766,56.08,59,27.1,3464,,,,,,,,,,,31.17,57,7,12742,Päijät-Häme,12742,,,13,144,THL BIOBANK MIGRAINE,8216,,,,,56.92,163,56.92,163
