APPROX_EVENT_DAY,Frequency,EVENT_AGE,Frequency,ATC,Frequency,VNR,Frequency,Substance,Frequency,MedicineName,Frequency,PackageSize,Frequency,DDDPerPack,Frequency,Dosage,Frequency,DosageUnit,Frequency,MERGED_SOURCE,Frequency,OMOP_CONCEPT_ID,Frequency,NOMESCO,Frequency,OMOP_CONCEPT_NAME,Frequency,AdministrationRoute,Frequency
,503,,21660,L04AB02,50271,,152460,infliximab,50271,,152460,,152460,,152460,,120395,,139082,OTHER_DRUGS,66231,,131552,,127203,,131552,,114245
2021-04-27,82,52.53,21,L01FA01,19031,,,rituximab,19031,,,,,,,300.0,5589,mg,12985,HOSPITAL_MEDICATION,64737,3042299,5965,4AA12,5912,inFLIXimab [Mass/volume] in Serum or Plasma,5965,intravenous,21535
2022-05-24,74,44.22,20,L04AB04,15287,,,adalimumab,15287,,,,,,,1000.0,4325,mg/ml,179,RHEUMA,21492,1175556,4516,1XC02,4789,inFLIXimab Ab [Units/volume] in Serum by Immunoassay,4516,subcutaneous,15575
2021-05-31,73,37.83,19,L04AG05,10283,,,vedolizumab,10283,,,,,,,50.0,3663,mg/kg,135,,,44786774,3207,4AB02,4074,Adalimumab [Mass/volume] in Serum or Plasma,3207,peroral,1082
2021-10-26,71,46.999,19,L04AC07,8955,,,tocilizumab,8955,,,,,,,40.0,3044,mg/m2,25,,,36304052,2182,4AA23,3255,Adalimumab Ab [Units/volume] in Serum or Plasma,2182,intramuscular,19
2022-02-14,71,39.99,19,L04AB01,7790,,,etanercept,7790,,,,,,,500.0,1891,g,24,,,36305075,1537,4AC07,2028,Vedolizumab [Mass/volume] in Serum or Plasma by Immunoassay,1537,List truncated...,
2021-11-16,70,72.04,19,L04AG03,6065,,,natalizumab,6065,,,,,,,400.0,1802,syringe,10,,,1175553,1522,4AA33,1527,Vedolizumab and Vedolizumab Ab panel [Mass/volume] - Serum or Plasma,1522,,
2021-10-25,70,57.97,19,L04AA24,5512,,,abatacept,5512,,,,,,,200.0,1741,dose,7,,,36305790,854,4AA24,1282,Ustekinumab [Mass/volume] in Serum or Plasma by Immunoassay,854,,
2018-05-30,70,45.66,19,L04AB06,4938,,,golimumab,4938,,,,,,,100.0,881,List truncated...,,,,36304617,831,3DX05,969,Golimumab [Mass/volume] in Serum or Plasma by Immunoassay,831,,
2021-09-01,69,58.2,19,L01AA01,4701,,,cyclophosphamide,4701,,,,,,,125.0,776,,,,,42528615,275,1AA01,292,Etanercept [Mass/volume] in Serum or Plasma by Immunoassay,275,,
