SOURCE	vocabulary	event_year	n_events	n_patients
CANC	canc	1965	6	6
CANC	canc	1967	8	7
CANC	canc	1968	7	7
CANC	canc	1969	14	14
CANC	canc	1970	10	10
CANC	canc	1972	9	9
CANC	canc	1973	12	12
CANC	canc	1974	10	10
CANC	canc	1975	16	16
CANC	canc	1976	19	19
CANC	canc	1977	19	19
CANC	canc	1978	25	25
CANC	canc	1979	30	30
CANC	canc	1980	41	41
CANC	canc	1981	35	35
CANC	canc	1982	41	41
CANC	canc	1983	45	45
CANC	canc	1984	53	53
CANC	canc	1985	49	49
CANC	canc	1986	73	73
CANC	canc	1987	83	83
CANC	canc	1988	104	104
CANC	canc	1989	99	99
CANC	canc	1990	128	128
CANC	canc	1991	143	142
CANC	canc	1992	183	181
CANC	canc	1993	181	181
CANC	canc	1994	218	217
CANC	canc	1995	234	230
CANC	canc	1996	275	274
CANC	canc	1997	296	293
CANC	canc	1998	323	319
CANC	canc	1999	376	371
CANC	canc	2000	423	418
CANC	canc	2001	417	408
CANC	canc	2002	455	451
CANC	canc	2003	470	461
CANC	canc	2004	537	528
CANC	canc	2005	573	564
CANC	canc	2006	589	581
CANC	canc	2007	602	591
CANC	canc	2008	684	667
CANC	canc	2009	691	675
CANC	canc	2010	770	751
CANC	canc	2011	845	826
CANC	canc	2012	861	846
CANC	canc	2013	1019	988
CANC	canc	2014	1070	1045
CANC	canc	2015	1142	1117
CANC	canc	2016	1462	1398
CANC	canc	2017	1775	1697
CANC	canc	2018	2122	2035
CANC	canc	2019	2233	2095
CANC	canc	2020	2047	1947
CANC	canc	2021	2193	2056
CANC	canc	2022	24	24
DEATH	10	1996	273	144
DEATH	10	1997	321	155
DEATH	10	1998	425	197
DEATH	10	1999	429	195
DEATH	10	2000	481	214
DEATH	10	2001	559	240
DEATH	10	2002	579	249
DEATH	10	2003	591	260
DEATH	10	2004	584	263
DEATH	10	2005	621	256
DEATH	10	2006	690	298
DEATH	10	2007	767	308
DEATH	10	2008	740	303
DEATH	10	2009	708	290
DEATH	10	2010	936	395
DEATH	10	2011	1025	402
DEATH	10	2012	1020	410
DEATH	10	2013	913	361
DEATH	10	2014	1074	409
DEATH	10	2015	1077	414
DEATH	10	2016	1144	449
DEATH	10	2017	1235	528
DEATH	10	2018	1558	707
DEATH	10	2019	1962	900
DEATH	10	2020	2156	986
DEATH	10	2021	2574	1145
DEATH	10	2022	49	17
DEATH	9	1992	31	18
DEATH	9	1993	130	76
DEATH	9	1994	179	101
DEATH	9	1995	248	140
INPAT	10	1993	15	9
INPAT	10	1994	13	9
INPAT	10	1995	431	330
INPAT	10	1996	22521	12004
INPAT	10	1997	22876	12028
INPAT	10	1998	22054	10996
INPAT	10	1999	22214	10597
INPAT	10	2000	22522	10358
INPAT	10	2001	22468	10064
INPAT	10	2002	23854	10375
INPAT	10	2003	24529	10335
INPAT	10	2004	26427	10519
INPAT	10	2005	27626	10490
INPAT	10	2006	28093	10468
INPAT	10	2007	29285	10507
INPAT	10	2008	28753	10281
INPAT	10	2009	30145	10323
INPAT	10	2010	32356	10377
INPAT	10	2011	37681	10697
INPAT	10	2012	35773	10592
INPAT	10	2013	36944	10471
INPAT	10	2014	39637	10673
INPAT	10	2015	45856	11057
INPAT	10	2016	50826	11782
INPAT	10	2017	48804	12884
INPAT	10	2018	51870	13320
INPAT	10	2019	60214	14467
INPAT	10	2020	58159	13835
INPAT	10	2021	59387	13600
INPAT	10	2022	71275	11899
INPAT	10	2023	12876	2630
INPAT	10EX	1995	11	11
INPAT	10EX	1996	505	439
INPAT	10EX	1997	703	595
INPAT	10EX	1998	1083	891
INPAT	10EX	1999	1071	898
INPAT	10EX	2000	1189	970
INPAT	10EX	2001	1310	1062
INPAT	10EX	2002	1173	950
INPAT	10EX	2003	1339	1069
INPAT	10EX	2004	1234	969
INPAT	10EX	2005	1363	1063
INPAT	10EX	2006	1309	1020
INPAT	10EX	2007	1372	1037
INPAT	10EX	2008	1467	1105
INPAT	10EX	2009	1498	1132
INPAT	10EX	2010	1539	1139
INPAT	10EX	2011	1759	1279
INPAT	10EX	2012	1658	1219
INPAT	10EX	2013	1732	1222
INPAT	10EX	2014	1705	1164
INPAT	10EX	2015	1825	1199
INPAT	10EX	2016	1975	1333
INPAT	10EX	2017	2098	1308
INPAT	10EX	2018	2625	1525
INPAT	10EX	2019	2937	1631
INPAT	10EX	2020	2853	1626
INPAT	10EX	2021	3011	1691
INPAT	10EX	2022	2903	1483
INPAT	10EX	2023	516	316
INPAT	8	1968	21	16
INPAT	8	1969	843	639
INPAT	8	1970	1200	895
INPAT	8	1971	1917	1354
INPAT	8	1972	8496	5288
INPAT	8	1973	8555	5427
INPAT	8	1974	8514	5607
INPAT	8	1975	7698	5194
INPAT	8	1976	7861	5193
