visit_year_bin	SOURCE	CODE5	CODE6	CODE7	CODE8	CODE9	n_visits	n_events_per_visit_logmean	n_events_per_visit_logsd	n_patients
(1986,1994]	PURCH	NA	NA	K	NA	NA	46172	0.4054651081081644	0	4562
(1986,1994]	PURCH	NA	NA	O	NA	NA	379362	0.4054651081081644	0	57176
(1986,1994]	PURCH	NA	NA	Y	NA	NA	90000	0.4054651081081644	0	8708
(1994,2001]	PURCH	NA	NA	K	NA	NA	240229	0.4054651081081644	0	7802
(1994,2001]	PURCH	NA	NA	O	NA	NA	2028892	0.4054651081081644	0	80618
(1994,2001]	PURCH	NA	NA	U	NA	NA	1747	0.4054651081081644	0	282
(1994,2001]	PURCH	NA	NA	Y	NA	NA	499413	0.4054651081081644	0	14849
(2001,2009]	PURCH	NA	NA	K	NA	NA	468969	0.4054651081081644	0	13304
(2001,2009]	PURCH	NA	NA	O	NA	NA	3530394	0.4054651081081644	0	84282
(2001,2009]	PURCH	NA	NA	U	NA	NA	44189	0.4054651081081644	0	5477
(2001,2009]	PURCH	NA	NA	Y	NA	NA	958835	0.4054651081081644	0	20954
(2009,2017]	PURCH	NA	NA	K	NA	NA	797220	0.4054651081081644	0	20641
(2009,2017]	PURCH	NA	NA	O	NA	NA	5467923	0.4054651081081644	0	84387
(2009,2017]	PURCH	NA	NA	U	NA	NA	56191	0.4054651081081644	0	8224
(2009,2017]	PURCH	NA	NA	Y	NA	NA	1417993	0.4054651081081644	0	27746
(2017,2100]	PURCH	NA	NA	K	NA	NA	632125	0.4054651081081644	0	20074
(2017,2100]	PURCH	NA	NA	O	NA	NA	4565059	0.4054651081081644	0	80509
(2017,2100]	PURCH	NA	NA	U	NA	NA	64492	0.4054651081081644	0	12993
(2017,2100]	PURCH	NA	NA	Y	NA	NA	1568467	0.4054651081081644	0	31602
(2009,2017]	PRIM_OUT	-1	-1	2221	NA	NA	456	0.6369675419602342	0.3084397457011758	346
(2009,2017]	PRIM_OUT	-1	-1	22211	NA	NA	57	0.5620109939789434	0.27957918262996473	51
(2009,2017]	PRIM_OUT	-1	-1	22212	NA	NA	146	0.5930484529550379	0.35216861668272703	119
(2009,2017]	PRIM_OUT	-1	-1	22213	NA	NA	1376	0.6051981325823421	0.3076381142867416	1136
(2009,2017]	PRIM_OUT	-1	-1	222133	NA	NA	15	0.64385039919896	0.2637892178215597	15
(2009,2017]	PRIM_OUT	-1	-1	22215	NA	NA	19	0.8496788274667839	0.4822399668520185	17
(2009,2017]	PRIM_OUT	-1	-1	2222	NA	NA	2339	1.3487250683837162	0.4643481590933517	1447
(2009,2017]	PRIM_OUT	-1	-1	22221	NA	NA	80	1.3252466075907794	0.4725834770163382	69
(2009,2017]	PRIM_OUT	-1	-1	22222	NA	NA	6	0.8311531279131567	0.20854368762760217	6
(2009,2017]	PRIM_OUT	-1	-1	22223	NA	NA	69	0.8415382565665744	0.42854904335150446	43
(2009,2017]	PRIM_OUT	-1	-1	22302	NA	NA	31	0.7185517807389329	0.25292899781514244	17
(2009,2017]	PRIM_OUT	-1	-1	223052	NA	NA	30	0.50181845328987	0.22614962410249093	12
(2009,2017]	PRIM_OUT	-1	-1	22308	NA	NA	19	1.350364296445419	0.25281434122735885	19
(2009,2017]	PRIM_OUT	-1	-1	22311	NA	NA	43	0.5320867005333068	0.2378964778629944	29
(2009,2017]	PRIM_OUT	-1	-1	24451	NA	NA	58	0.7135110097312908	0.2802966296601213	22
(2009,2017]	PRIM_OUT	-1	-1	24461	NA	NA	8	0.4054651081081644	0	7
(2009,2017]	PRIM_OUT	-1	-1	3223	NA	NA	13	0.6805250593667748	0.26505440118466495	7
(2009,2017]	PRIM_OUT	-1	-1	3225	NA	NA	501	1.074686042448087	0.34879116803876103	435
(2009,2017]	PRIM_OUT	-1	-1	32251	NA	NA	11	1.1226678089658082	0.21048860208650927	11
(2009,2017]	PRIM_OUT	-1	-1	3226	NA	NA	11	0.7769746526652486	0.2386063252514851	6
(2009,2017]	PRIM_OUT	-1	-1	32261	NA	NA	532	0.6868837595168416	0.3438849223198425	200
(2009,2017]	PRIM_OUT	-1	-1	32269	NA	NA	8	0.9461757182007255	0.394001637415095	8
(2009,2017]	PRIM_OUT	-1	-1	3231	NA	NA	93	0.7704008689440814	0.3294304817369046	60
(2009,2017]	PRIM_OUT	-1	-1	32311	NA	NA	3000	0.6756431572876185	0.3019303020421583	1595
(2009,2017]	PRIM_OUT	-1	-1	32312	NA	NA	1557	0.7616464622877754	0.29719805744520117	1104
(2009,2017]	PRIM_OUT	-1	-1	32313	NA	NA	10	0.4054651081081644	0	10
(2009,2017]	PRIM_OUT	-1	-1	3232	NA	NA	7	0.8433156427647278	0.19307393768632247	6
(2009,2017]	PRIM_OUT	-1	-1	3460	NA	NA	16	0.7660254939352888	0.39092506575442565	6
(2009,2017]	PRIM_OUT	-1	-1	4222	NA	NA	29	0.4230797847897503	0.0948579369547291	28
(2009,2017]	PRIM_OUT	-1	-1	5132	NA	NA	46	0.9675305723753144	0.2788291094401298	8
(2009,2017]	PRIM_OUT	-1	-1	51321	NA	NA	3210	0.8523380231398288	0.3307232598835702	323
(2009,2017]	PRIM_OUT	-1	-1	51322	NA	NA	173	0.8401494340946597	0.244764946830304	22
(2009,2017]	PRIM_OUT	-1	-1	51325	NA	NA	56	0.623807056819645	0.360063334293783	56
(2009,2017]	PRIM_OUT	-1	-1	51331	NA	NA	421	1.060376465510465	0.2981863121240549	38
(2009,2017]	PRIM_OUT	-1	-1	51413	NA	NA	47	0.8754846199892071	0.2962614408351802	30
(2009,2017]	PRIM_OUT	-1	-1	NA	NA	NA	32	1.1629364286955397	0.2737756415588322	9
(2009,2017]	PRIM_OUT	-1	T11	22213	NA	NA	7	0.4784401972175916	0.19307393768632247	7
(2009,2017]	PRIM_OUT	-1	T11	32311	NA	NA	23	0.4498847275660766	0.14717093897878739	22
(2009,2017]	PRIM_OUT	-1	T11	32312	NA	NA	30	0.43952014969256376	0.1296006146314145	28
(2009,2017]	PRIM_OUT	-1	T21	32312	NA	NA	18	0.49060271206916284	0.19589268441731705	16
(2009,2017]	PRIM_OUT	-1	T23	32312	NA	NA	7	0.5514152863270189	0.24925738174860515	7
(2009,2017]	PRIM_OUT	-1	T26	32312	NA	NA	7	0.4784401972175916	0.19307393768632247	7
(2009,2017]	PRIM_OUT	-1	T27	32312	NA	NA	21	0.6000653457333037	0.25419365068863675	16
(2009,2017]	PRIM_OUT	-1	T28	32312	NA	NA	7	0.4054651081081644	0	7
(2009,2017]	PRIM_OUT	-1	T40	51321	NA	NA	13	0.706407539106868	0.30361818998975926	10
(2009,2017]	PRIM_OUT	-1	T40	51331	NA	NA	15	0.8757428672225124	0.2948211616779931	8
(2009,2017]	PRIM_OUT	-1	T51	32261	NA	NA	48	0.48697034983697995	0.2044557674156279	22
(2009,2017]	PRIM_OUT	-1	T60	-1	NA	NA	22	0.42868445464298216	0.10890838891971076	22
(2009,2017]	PRIM_OUT	-1	T60	2222	NA	NA	1295	0.427296710142854	0.12933033898011745	1030
(2009,2017]	PRIM_OUT	-1	T60	22221	NA	NA	7	0.4054651081081644	0	6
(2009,2017]	PRIM_OUT	-1	T60	22222	NA	NA	7	0.4054651081081644	0	7
(2009,2017]	PRIM_OUT	-1	T60	22223	NA	NA	9	0.4054651081081644	0	9
(2009,2017]	PRIM_OUT	-1	T60	3225	NA	NA	388	0.41989461985185866	0.10609025314475129	352
(2009,2017]	PRIM_OUT	-1	T60	51325	NA	NA	86	0.4054651081081644	0	66
(2009,2017]	PRIM_OUT	-1	T71	24451	NA	NA	14	0.6298875926604552	0.3448080748630049	11
(2009,2017]	PRIM_OUT	-1	T71	32311	NA	NA	9	0.6892571213114925	0.2692287430461283	8
(2009,2017]	PRIM_OUT	-2	-2	-2	NA	NA	95	0.4736461708496874	0.23517855341341667	62
(2009,2017]	PRIM_OUT	-2	-2	22211	NA	NA	28	0.4966839694949484	0.1992327348013922	20
(2009,2017]	PRIM_OUT	-2	-2	22212	NA	NA	94	0.46696724333052964	0.18456032273566478	61
(2009,2017]	PRIM_OUT	-2	-2	22213	NA	NA	329	0.4920875092870922	0.258864536089871	227
(2009,2017]	PRIM_OUT	-2	-2	32261	NA	NA	7	0.4054651081081644	0	7
(2009,2017]	PRIM_OUT	-2	-2	32311	NA	NA	61	0.45571025142940935	0.1533871934737796	60
(2009,2017]	PRIM_OUT	-2	-2	32312	NA	NA	81	0.41807808647275674	0.07976524703078304	56
(2009,2017]	PRIM_OUT	-2	-2	NA	NA	NA	42	0.5247713912427181	0.31293615812215686	41
(2009,2017]	PRIM_OUT	-2	T11	22213	NA	NA	37	0.4330773039874071	0.11710342074715899	26
(2009,2017]	PRIM_OUT	-2	T11	32311	NA	NA	7	0.4054651081081644	0	6
(2009,2017]	PRIM_OUT	-2	T27	22212	NA	NA	7	1.1525586978548221	0.4931206980914787	7
(2009,2017]	PRIM_OUT	-2	T27	22213	NA	NA	7	0.6243903754364462	0.27304778121677503	7
(2009,2017]	PRIM_OUT	-2	T27	24451	NA	NA	9	0.9514063909573431	0.4595029824412725	6
(2009,2017]	PRIM_OUT	-2	T27	32312	NA	NA	12	0.7546220530732833	0.42500206866259344	12
(2009,2017]	PRIM_OUT	-2	T60	2222	NA	NA	12	0.4054651081081644	0	6
(2009,2017]	PRIM_OUT	R10	-1	32311	NA	NA	6	0.7460155239521582	0.2637892178215597	6
(2009,2017]	PRIM_OUT	R10	-2	-2	NA	NA	14	0.44195265266287803	0.13652389060838752	9
(2009,2017]	PRIM_OUT	R10	-2	22212	NA	NA	8	0.4693183110789132	0.18060413128439	7
(2009,2017]	PRIM_OUT	R10	-2	22213	NA	NA	48	0.5152645890901715	0.23895795964966662	33
(2009,2017]	PRIM_OUT	R10	-2	32311	NA	NA	8	0.4693183110789132	0.18060413128439	8
(2009,2017]	PRIM_OUT	R10	T11	-1	NA	NA	8	0.5752305436273137	0.3269543562151834	8
(2009,2017]	PRIM_OUT	R10	T11	-2	NA	NA	3165	0.5458733849600349	0.2859386812737538	2221
(2009,2017]	PRIM_OUT	R10	T11	1	NA	NA	1004	0.6368537679636157	0.3387972330292364	665
(2009,2017]	PRIM_OUT	R10	T11	100	NA	NA	1036	0.5306530560181774	0.2463984576827181	595
(2009,2017]	PRIM_OUT	R10	T11	12292	NA	NA	17	0.4355136742120462	0.12389341194465923	6
(2009,2017]	PRIM_OUT	R10	T11	222	NA	NA	59	0.8118716624715777	0.35501219530305855	44
(2009,2017]	PRIM_OUT	R10	T11	2221	NA	NA	85254	0.5563456875962316	0.2891913808903742	18145
(2009,2017]	PRIM_OUT	R10	T11	22210	NA	NA	19	0.8383967894794957	0.408046514487114	14
(2009,2017]	PRIM_OUT	R10	T11	22211	NA	NA	8478	0.559501557834141	0.29936426829387425	4414
(2009,2017]	PRIM_OUT	R10	T11	222111	NA	NA	23	0.6753289570789477	0.3119854097113885	14
(2009,2017]	PRIM_OUT	R10	T11	22212	NA	NA	62840	0.5636164344006178	0.31674580828379445	19665
(2009,2017]	PRIM_OUT	R10	T11	22213	NA	NA	348791	0.543542873663798	0.28700658514336697	57033
(2009,2017]	PRIM_OUT	R10	T11	222131	NA	NA	226	0.5859992595072685	0.2855004616093718	155
(2009,2017]	PRIM_OUT	R10	T11	222132	NA	NA	58	0.519749566233846	0.24722137137259767	48
(2009,2017]	PRIM_OUT	R10	T11	222133	NA	NA	602	0.6183759572527732	0.2626866689333913	387
(2009,2017]	PRIM_OUT	R10	T11	22214	NA	NA	172	0.5255806331290007	0.243551099990148	133
(2009,2017]	PRIM_OUT	R10	T11	22215	NA	NA	398	0.5588545640755129	0.27580681717464656	228
(2009,2017]	PRIM_OUT	R10	T11	2222	NA	NA	9	0.4054651081081644	0	9
(2009,2017]	PRIM_OUT	R10	T11	22221	NA	NA	8	0.4693183110789132	0.18060413128439	6
(2009,2017]	PRIM_OUT	R10	T11	2223	NA	NA	18	0.49060271206916284	0.19589268441731705	12
(2009,2017]	PRIM_OUT	R10	T11	2229	NA	NA	61	0.4737202889485587	0.20365088246732496	24
(2009,2017]	PRIM_OUT	R10	T11	22302	NA	NA	2036	0.5694293766954367	0.25512658734749694	1367
(2009,2017]	PRIM_OUT	R10	T11	22303	NA	NA	3475	0.5454138224039968	0.23094487670430752	1561
