APPROX_DATE,Frequency,SOURCE,Frequency,SEX,Frequency,BIRTH_DATE,Frequency,AGE_AT_TEST,Frequency,AGE_GROUP,Frequency,IS_PEDIATRIC,Frequency,HEIGHT_BEST,Frequency,HEIGHT_CLEAN,Frequency,HEIGHT_FLAG,Frequency,WEIGHT_MEDIAN,Frequency,WEIGHT_LATEST,Frequency,WEIGHT_CLEAN,Frequency,WEIGHT_FLAG,Frequency,FEV1_BEST,Frequency,FVC_BEST,Frequency,FEV1_FVC_RATIO,Frequency,FEV1_MAX,Frequency,FVC_MAX,Frequency,MEASUREMENT_TYPE,Frequency,FEV1_POST,Frequency,FVC_POST,Frequency,FEV1_FVC_POST,Frequency,FEV1_CHANGE_L,Frequency,FEV1_CHANGE_PCT,Frequency,FVC_CHANGE_L,Frequency,FVC_CHANGE_PCT,Frequency,SIGNIFICANT_RESPONSE,Frequency,OBSTRUCTION,Frequency
2016-01-17,52,Helsinki,48976,female,64290,1953-08-08,73,List truncated...,,Adult 60-79,52848,0,97594,160.0,4585,160.0,4750,ok,95358,80.0,2328,70.0,2425,70.0,2583,ok,97469,List truncated...,,List truncated...,,1.0,85,List truncated...,,List truncated...,,reversibility,86073,,14170,,14170,,14170,,14170,,14170,,14170,,14170,FALSE,79440,Normal,66496
List truncated...,,Auria New Medikro,24144,male,35953,1938-04-14,73,,,Adult 40-59,29120,1,2650,165.0,4110,165.0,4312,moderate_variation_adult,3265,70.0,2294,80.0,2281,80.0,2580,high_variation,2404,,,,,List truncated...,,,,,,single,14170,List truncated...,,List truncated...,,1.0,62,0.0,70,0.0,70,0.04,53,List truncated...,,,14170,Obstructive,33747
,,Auria Old Medikro,12120,,,1965-06-27,70,,,Adult 18-39,10618,,,164.0,3775,163.0,4014,disagrees_with_demographics,1264,75.0,1977,75.0,2029,75.0,2276,extreme_variation,369,,,,,,,,,,,,,,,,,List truncated...,,0.02,60,List truncated...,,List truncated...,,,,TRUE,6633,,
,,Eastern Finland,5090,,,1948-11-11,67,,,Adult 80+,5007,,,163.0,3731,162.0,3927,high_variation_adult,333,65.0,1794,85.0,1863,65.0,2068,List truncated...,,,,,,,,,,,,,,,,,,,,0.028,53,,,,,,,,,,
,,Borealis,4900,,,1967-08-31,67,,,Adolescent 12-17,1547,,,162.0,3666,164.0,3852,List truncated...,,73.0,1779,90.0,1860,90.0,2034,,,,,,,,,,,,,,,,,,,,,0.0680000000000001,52,,,,,,,,,,
,,Tampere,3142,,,1942-12-21,65,,,Child 6-11,1102,,,170.0,3252,170.0,3529,,,90.0,1753,78.0,1844,85.0,2029,,,,,,,,,,,,,,,,,,,,,0.048,51,,,,,,,,,,
,,Auria SentrySuite,1871,,,1956-03-04,64,,,List truncated...,,,,158.0,3089,158.0,3292,,,74.0,1742,72.0,1827,72.0,1959,,,,,,,,,,,,,,,,,,,,,0.0600000000000001,51,,,,,,,,,,
,,,,,,1946-11-16,63,,,,,,,166.0,3034,168.0,3260,,,85.0,1707,68.0,1786,73.0,1938,,,,,,,,,,,,,,,,,,,,,0.103,50,,,,,,,,,,
,,,,,,1942-10-09,60,,,,,,,168.0,2968,166.0,3175,,,72.0,1685,77.0,1763,68.0,1910,,,,,,,,,,,,,,,,,,,,,List truncated...,,,,,,,,,,,
,,,,,,1945-09-29,60,,,,,,,161.0,2895,161.0,3132,,,82.0,1639,65.0,1745,78.0,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1945-10-23,60,,,,,,,167.0,2538,167.0,2881,,,68.0,1637,73.0,1737,74.0,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1947-02-28,57,,,,,,,172.0,2523,172.0,2723,,,78.0,1635,79.0,1668,82.0,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1961-01-18,56,,,,,,,159.0,2361,169.0,2499,,,76.0,1502,82.0,1636,77.0,1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1946-07-21,56,,,,,,,157.0,2337,159.0,2458,,,69.0,1464,74.0,1623,76.0,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1947-01-08,55,,,,,,,169.0,2307,157.0,2423,,,77.0,1459,76.0,1539,67.0,1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1956-09-26,54,,,,,,,173.0,2144,173.0,2261,,,83.0,1459,67.0,1532,83.0,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1947-01-15,54,,,,,,,175.0,2063,171.0,2257,,,67.0,1439,69.0,1524,63.0,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1961-04-18,54,,,,,,,174.0,2042,175.0,2249,,,64.0,1385,71.0,1504,69.0,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
