DRUG,Frequency,DRUG_DEF,Frequency,VACCINE_PROTECTION,Frequency,PRODUCT_NUMBER,Frequency,METHOD,Frequency,INJECTION_SITE,Frequency,COVID,Frequency,VACCINATION_AGE,Frequency,APPROX_VACCINATION_DATE,Frequency
J07BB02,1562020,,3892427,,2983454,,2066500,IM,4350278,VO,3258324,0,2677527,71.22,1649,2023-11-20,8866
J07BX03,1383607,INFLU,303150,29,699077,488024,712644,,141671,OO,836197,1,1848667,68.59,1622,2023-11-21,8860
,712703,TdTEH,35933,12,695616,193843,496545,SC,23253,,399571,,61,72.63,1602,2023-11-16,8709
J07BN01,343081,INF65,23587,10,79043,527182,215912,PO,4435,VR,12155,,,68.45,1598,2023-11-15,8679
J07AM51,148580,PUUTIA,12442,7,74554,476238,127152,ID,4113,OR,11353,,,70.15,1596,2023-11-14,8572
J07BA01,106677,HABVY,12045,2,72670,128394,125043,IN,1283,VP,3558,,,69.55,1594,2023-11-17,8568
J07AL02,55612,Influ,11609,14,22075,485348,116916,MUU,1222,OP,2853,,,71.45,1591,2023-11-18,8451
J07BC20,41152,COV19,10441,5,19249,72046,79513,,,OTHER,2244,,,69.35,1588,2023-11-19,8361
J07BC01,31338,INFy65,8769,6,17766,41332,68570,,,,,,,70.33,1583,2023-11-13,8297
J07AJ52,26025,dtap,8413,34,16275,454476,41563,,,,,,,71.44,1581,2023-11-22,8112
J07BD52,15518,dT,8102,13,14197,517806,40321,,,,,,,0.25,1580,2023-11-23,8102
J07BK03,13620,INFR,6965,30,13662,553555,34534,,,,,,,70.58,1579,2023-11-10,7961
J07BC02,13249,KORONA,6725,15,4611,143534,33305,,,,,,,70.55,1577,2023-11-12,7889
J07BM02,11671,INFLA,6114,20,4412,545117,31815,,,,,,,69.6,1576,2023-11-11,7833
J07,6279,PNEUMO,6094,16,4277,516605,23597,,,,,,,72.29,1575,2023-11-09,7690
J07BF03,5500,KORON1,5368,99,2997,507366,23180,,,,,,,70.47,1573,2023-11-24,7667
J07AL01,5418,INF,4635,17,2622,69553,19996,,,,,,,69.29,1571,2023-11-08,7399
J07CA06,4518,HAV,3977,21,2595,154149,18908,,,,,,,65.01,1570,2023-11-25,7350
J07BL01,4047,COVID,3699,4,2586,578912,18866,,,,,,,70.42,1569,2023-11-07,7234
J07BK01,3914,INFMUU,3489,23,2365,116928,16956,,,,,,,69.77,1569,2023-11-26,7116
J07AH08,3584,INFROK,3440,9,1593,595991,14704,,,,,,,68.68,1568,2023-11-27,7105
J07AL52,3027,MPR1,3324,22,1364,170636,13702,,,,,,,68.72,1567,2023-11-28,7010
J07BH02,2759,PCV1,3286,3,1236,402651,12719,,,,,,,69.27,1564,2023-11-06,6884
J07BK02,2640,HBV1,3251,11,1035,176947,12287,,,,,,,68.42,1564,2022-11-07,6836
J07BB01,2468,HBV2,3247,18,1027,170092,11961,,,,,,,69.5,1562,2022-11-08,6695
J07CA02,2240,HBV3,2934,33,777,371335,11936,,,,,,,67.44,1559,2022-11-13,6692
J07BA02,2155,CORONA,2898,8,473,64733,11492,,,,,,,69.38,1557,2023-11-29,6666
J07AP03,2106,INFTER,2660,1,420,424470,10214,,,,,,,69.9,1556,2022-11-10,6621
J07BB03,2024,HBV,2592,92,394,53401,9525,,,,,,,69.44,1555,2022-11-14,6587
J07BN02,1583,PNEU,2278,31,297,426850,7573,,,,,,,69.47,1554,2022-11-16,6549
J07BG01,1378,INFL1,2200,32,227,506578,7558,,,,,,,69.57,1554,2022-11-15,6547
J07BD54,797,Infrok,2178,19,225,108328,6517,,,,,,,73.7,1554,2023-11-05,6525
J07BN04,690,COVID1,2154,27,28,165049,5790,,,,,,,68.57,1552,2022-11-17,6524
J07BX05,689,HPV,2096,24,27,397916,4770,,,,,,,67.62,1550,2022-11-12,6517
J07AH09,637,FinFlu,2087,25,27,113606,4666,,,,,,,69.63,1550,2022-11-09,6508
J07BM03,597,INFsai,2062,26,27,89077,3308,,,,,,,69.93,1548,2022-11-11,6459
J07AG01,526,MPR2,2040,28,16,460972,3123,,,,,,,69.43,1548,2021-12-29,6454
J07AE01,452,INFY64,1991,List truncated...,,53231,2979,,,,,,,70.41,1548,2021-12-31,6451
J07BM01,317,PNEUM,1950,,,5085,2973,,,,,,,66.52,1547,2023-11-30,6439
J07BX04,206,INFN,1827,,,13633,2927,,,,,,,68.52,1545,2021-11-16,6423
J07AP01,162,PCV,1790,,,182303,2838,,,,,,,68.75,1545,2021-11-17,6422
J07AH04,148,INFläh,1743,,,182080,2614,,,,,,,72.46,1544,2022-11-18,6387
J07AN01,91,Covid,1695,,,585869,2471,,,,,,,70.19,1543,2021-12-30,6383
J07BX,51,INF1,1666,,,62507,1957,,,,,,,70.67,1543,2021-11-18,6372
J07BX01,50,Fluarix,1585,,,63196,1866,,,,,,,68.6,1542,2021-12-23,6338
List truncated...,,AINFLU,1553,,,16673,1673,,,,,,,66.49,1542,2021-12-24,6307
,,MPR,1466,,,28342,1656,,,,,,,74.69,1541,2021-12-22,6305
,,COV-P1,1389,,,502,1643,,,,,,,69.61,1541,2021-12-28,6300
,,HABVY2,1389,,,576856,1517,,,,,,,68.4,1541,2021-11-10,6291
,,Vaxigrip,1376,,,62498,1421,,,,,,,69.7,1541,2022-11-06,6291
,,DTaP-IPV-Hib,1336,,,436303,1418,,,,,,,69.37,1540,2021-11-11,6265
,,HABVY3,1302,,,181862,1383,,,,,,,75.25,1540,2021-12-21,6261
,,PPV,1291,,,121444,1226,,,,,,,68.46,1540,2021-12-07,6257
,,KELTA,1229,,,472332,1181,,,,,,,71.16,1540,2022-11-05,6256
,,POLTEH,1202,,,373611,1163,,,,,,,71.83,1539,2021-12-27,6229
,,Influvac,1198,,,157068,987,,,,,,,71.48,1538,2021-11-19,6213
,,Pneumokokki PCV,1169,,,390034,982,,,,,,,69.81,1535,2021-11-12,6199
,,INFamm,1165,,,427326,974,,,,,,,67.99,1535,2022-01-03,6191
,,Covid1,1140,,,551586,845,,,,,,,67.48,1535,2023-11-04,6175
,,Influessa,1108,,,115445,804,,,,,,,71.73,1535,2021-12-08,6171
,,TETD,1099,,,170142,791,,,,,,,71.19,1534,2021-11-09,6151
,,PCV13,1034,,,810236,786,,,,,,,73.66,1533,2021-11-23,6118
,,HAV1,1004,,,28296,722,,,,,,,71.76,1533,2023-11-03,6109
,,diTeBooster,989,,,585005,670,,,,,,,67.71,1532,2021-11-08,6102
,,Rota,979,,,405597,639,,,,,,,70.81,1531,2024-10-29,6090
,,INR3,975,,,108317,634,,,,,,,70.3,1531,2022-11-04,6090
,,dT-teh,937,,,59659,614,,,,,,,70.27,1531,2021-12-25,6056
,,Muut,930,,,24492,597,,,,,,,67.21,1531,2021-12-14,6054
,,TBE3,909,,,176819,571,,,,,,,71.51,1531,2022-01-04,6054
,,INR>65,901,,,117303,566,,,,,,,71.57,1530,2021-11-15,6047
,,TBE2,882,,,385918,560,,,,,,,71.56,1530,2021-12-01,6044
,,TBE1,878,,,66678,535,,,,,,,72.2,1528,2022-01-11,6041
,,Pneumo,869,,,169734,530,,,,,,,69.69,1528,2022-01-05,6038
,,HAV2,864,,,509649,506,,,,,,,69.49,1527,2022-01-10,6021
,,Td1,827,,,810153,488,,,,,,,70.44,1527,2021-12-26,6011
,,VESIR,779,,,112431,484,,,,,,,69.78,1527,2022-01-02,6008
,,TBE,770,,,581896,481,,,,,,,68.63,1527,2021-11-13,6003
,,INRA65,745,,,46973,474,,,,,,,70.56,1526,2024-10-28,5998
,,PAPIL,716,,,116940,469,,,,,,,66.7,1526,2021-11-14,5995
,,INFL3,713,,,143511,463,,,,,,,70.16,1525,2021-12-06,5986
,,PAPILL,702,,,5089,434,,,,,,,70.21,1525,2022-11-03,5983
,,DTaP-IPV,689,,,75518,433,,,,,,,69.64,1525,2021-12-02,5981
,,PAPVI1,683,,,576544,421,,,,,,,71.77,1525,2021-11-25,5968
,,INFhoi,671,,,10348,418,,,,,,,69.2,1525,2022-01-12,5958
,,HABVY1,633,,,41312,415,,,,,,,68.74,1524,2021-11-21,5951
,,HAVHBV,631,,,539174,412,,,,,,,70.24,1523,2021-12-15,5950
,,PAPVI2,599,,,152354,406,,,,,,,75.33,1521,2021-11-24,5944
,,Td,595,,,539625,368,,,,,,,66.53,1521,2021-11-22,5938
,,dTte,577,,,142685,361,,,,,,,68.54,1520,2022-01-01,5937
,,INFLU4,567,,,90147,339,,,,,,,74.26,1518,2021-11-20,5928
,,COV-A1,553,,,140099,326,,,,,,,69.46,1518,2022-11-19,5893
,,INFRAS,551,,,458025,324,,,,,,,67.45,1518,2021-11-30,5889
,,IN3-64,532,,,505762,299,,,,,,,71.6,1518,2022-01-08,5881
,,INR,532,,,15628,297,,,,,,,71.25,1518,2021-12-16,5864
,,Influenssa,529,,,5096,275,,,,,,,66.45,1518,2024-10-25,5860
,,COV1,526,,,810386,266,,,,,,,67.68,1517,2023-11-02,5859
,,COV-2,523,,,421227,262,,,,,,,67.76,1517,2021-12-20,5857
,,HPV3,518,,,198901,260,,,,,,,70.13,1517,2024-10-30,5849
,,HABV,511,,,187817,257,,,,,,,72.74,1514,2024-10-23,5842
,,Pneu,509,,,554585,238,,,,,,,73.49,1514,2021-12-03,5823
,,COVROK,500,,,28333,208,,,,,,,66.47,1514,2021-11-07,5822
,,COM1,491,,,400144,206,,,,,,,72.51,1513,2022-01-06,5810
,,HPV2,491,,,80122,189,,,,,,,73.18,1513,2022-01-07,5798
,,PAPVI3,490,,,73275,182,,,,,,,71.04,1513,2022-11-02,5785
,,TETAdb,489,,,587002,181,,,,,,,72.69,1512,2021-11-26,5783
,,dTteho,483,,,199199,175,,,,,,,69.15,1512,2024-10-26,5782
,,INFHOI,466,,,392228,167,,,,,,,70.12,1512,2021-12-09,5781
,,INFr,465,,,481047,164,,,,,,,70.59,1512,2024-10-31,5772
,,HPV1,454,,,383919,157,,,,,,,68.2,1512,2022-11-21,5771
,,JAPA,446,,,35948,155,,,,,,,68.36,1512,2022-11-20,5766
,,INF65v,442,,,169664,145,,,,,,,68.43,1512,2022-01-09,5765
,,Td4,440,,,10943,141,,,,,,,71.41,1511,2023-12-01,5754
,,VaxigripTetra,418,,,163358,134,,,,,,,70.23,1510,2021-11-29,5754
,,INR2,406,,,483443,116,,,,,,,71.64,1510,2024-10-27,5750
,,PUUTI2,391,,,462967,112,,,,,,,68.26,1510,2024-10-24,5748
,,PUUTI1,386,,,436311,110,,,,,,,74.79,1508,2021-12-17,5745
,,PUUTI3,375,,,387817,99,,,,,,,70.61,1508,2021-12-04,5737
,,COV-M1,368,,,531760,99,,,,,,,75.54,1508,2021-11-06,5721
,,d T,362,,,4502,97,,,,,,,68.78,1508,2024-11-06,5712
,,HABV1,358,,,444109,90,,,,,,,68.25,1508,2022-01-13,5710
,,MENAC,356,,,63215,87,,,,,,,70.35,1507,2021-11-28,5689
,,MOD1,345,,,149829,80,,,,,,,70.62,1507,2021-11-04,5685
,,INR1,340,,,54858,80,,,,,,,67.51,1507,2024-11-04,5654
,,HABV2,333,,,142674,74,,,,,,,71.34,1507,2021-12-18,5650
,,INFL2,327,,,387208,70,,,,,,,70.29,1506,2022-11-22,5647
,,Covid3,323,,,122638,69,,,,,,,70.46,1506,2024-11-01,5641
,,HABV3,320,,,551380,67,,,,,,,68.19,1506,2021-12-13,5638
,,Tetanus,320,,,493963,66,,,,,,,68.28,1506,2021-12-10,5636
,,DTteho,313,,,16403,64,,,,,,,69.75,1505,2021-12-19,5634
,,influenssa,308,,,563010,62,,,,,,,71.3,1505,2021-11-27,5633
,,HBVR,305,,,398719,60,,,,,,,68.62,1505,2021-11-05,5627
,,PPV1,300,,,387416,58,,,,,,,71.36,1505,2021-12-05,5614
,,PUUTI,294,,,18811,55,,,,,,,66.68,1505,2022-11-01,5607
,,LAVANT,294,,,98722,51,,,,,,,72.13,1504,2022-11-23,5596
,,INFL,291,,,List truncated...,,,,,,,,69.41,1504,2024-11-05,5571
,,Pneum1,289,,,,,,,,,,,71.15,1504,2024-11-03,5545
,,influ,285,,,,,,,,,,,72.22,1503,2021-06-09,5539
,,AST1,277,,,,,,,,,,,69.92,1503,2022-01-14,5506
,,TBEt,277,,,,,,,,,,,72.57,1503,2024-11-02,5504
,,HAB,271,,,,,,,,,,,69.18,1502,2024-11-07,5492
,,DTaP1,262,,,,,,,,,,,69.58,1502,2022-11-24,5483
,,VESIR1,241,,,,,,,,,,,70.64,1502,2021-06-08,5471
,,COVID2,239,,,,,,,,,,,69.73,1502,2021-06-03,5452
,,PEF,235,,,,,,,,,,,67.34,1502,2024-10-22,5444
,,DTAP-I,234,,,,,,,,,,,67.5,1501,2021-12-11,5444
,,INFRA6,234,,,,,,,,,,,72.23,1501,2021-06-01,5423
,,HPV 1,225,,,,,,,,,,,70.5,1501,2021-06-02,5404
,,Twinrix,224,,,,,,,,,,,67.47,1501,2021-11-03,5399
,,ANTI-D,220,,,,,,,,,,,68.69,1501,2024-10-21,5395
,,dTt,218,,,,,,,,,,,68.92,1501,2021-12-12,5385
,,HPV 3,210,,,,,,,,,,,69.11,1500,2024-10-18,5380
,,HPV 2,207,,,,,,,,,,,69.21,1500,2021-11-02,5319
,,DTaP-1,207,,,,,,,,,,,73.72,1500,2024-11-08,5316
,,CORON2,207,,,,,,,,,,,69.14,1499,2023-12-02,5315
,,INFras,203,,,,,,,,,,,70.26,1499,2022-01-15,5310
,,DITE,201,,,,,,,,,,,69.66,1499,2021-06-10,5306
,,INFLUVAC,199,,,,,,,,,,,75.39,1499,2021-06-22,5295
,,DiTeBooster,198,,,,,,,,,,,68.51,1499,2024-10-15,5288
,,T-d,197,,,,,,,,,,,72.19,1498,2021-06-04,5275
,,COV-P2,187,,,,,,,,,,,67.42,1498,2023-11-01,5272
,,IMOVAX,186,,,,,,,,,,,69.96,1497,2022-01-17,5261
,,KOLERA,185,,,,,,,,,,,65.52,1497,2024-10-17,5255
,,TetanT,182,,,,,,,,,,,67.39,1497,2021-05-28,5255
,,FLUARIX,178,,,,,,,,,,,67.67,1496,2021-05-31,5248
,,Cervarix,175,,,,,,,,,,,75.82,1496,2022-01-16,5237
,,Prevenar 13,171,,,,,,,,,,,71.67,1496,2021-06-15,5225
,,KORON2,171,,,,,,,,,,,74.61,1495,2021-06-16,5225
,,CoV-2,168,,,,,,,,,,,71.54,1495,2022-10-31,5211
,,PREVEN,162,,,,,,,,,,,71.68,1495,2024-10-16,5203
,,INR 1,159,,,,,,,,,,,73.24,1495,2021-06-24,5189
,,PUUT1,158,,,,,,,,,,,69.17,1494,2022-10-30,5184
,,INFRIS,157,,,,,,,,,,,69.72,1494,2023-12-03,5176
,,PNEUM1,154,,,,,,,,,,,70.79,1493,2024-11-09,5158
,,InfFlu,154,,,,,,,,,,,72.34,1493,2021-06-07,5154
,,Covid2,153,,,,,,,,,,,72.72,1493,2022-11-25,5131
,,Prev,153,,,,,,,,,,,75.42,1493,2021-05-30,5129
,,PUUT2,152,,,,,,,,,,,73.55,1493,2021-06-06,5112
,,DTaP,150,,,,,,,,,,,71.7,1493,2021-06-11,5104
,,anti-D,148,,,,,,,,,,,70.73,1492,2024-10-20,5102
,,PUU,147,,,,,,,,,,,70.04,1492,2022-01-18,5098
,,RABIES,147,,,,,,,,,,,69.24,1492,2021-05-29,5078
,,INFLHK,146,,,,,,,,,,,67.24,1492,2021-05-25,5075
,,DTAP,145,,,,,,,,,,,67.54,1492,2021-06-21,5072
,,TBEb,143,,,,,,,,,,,73.63,1492,2021-06-14,5065
,,COVID19,143,,,,,,,,,,,73.2,1492,2021-06-05,5063
,,VESIR2,142,,,,,,,,,,,71.28,1492,2024-11-11,5063
,,HBVY,141,,,,,,,,,,,70.53,1491,2024-11-12,5059
,,PUUT3,138,,,,,,,,,,,65.67,1491,2021-05-26,5049
,,TicoVac,137,,,,,,,,,,,71.53,1491,2021-05-27,5038
,,Td3,135,,,,,,,,,,,73.08,1491,2021-06-23,5022
,,HA-HB1,132,,,,,,,,,,,68.65,1491,2022-01-19,5018
,,IPV1,129,,,,,,,,,,,72.66,1490,2021-05-24,5011
,,PPV23,128,,,,,,,,,,,70.18,1490,2021-06-17,5009
,,PnePPV,125,,,,,,,,,,,69.32,1490,2024-10-19,5006
,,HA-HB3,124,,,,,,,,,,,69.52,1490,2021-06-18,4994
,,HAVBVY,123,,,,,,,,,,,67.18,1490,2021-06-25,4991
,,InfVax,123,,,,,,,,,,,71.82,1490,2021-06-28,4955
,,PNE1,123,,,,,,,,,,,67.79,1489,2021-11-01,4952
,,HAV 1,122,,,,,,,,,,,71.71,1489,2024-10-14,4942
,,Td2,120,,,,,,,,,,,74.76,1488,2021-06-13,4938
,,Vaxigrip Tetra,120,,,,,,,,,,,70.38,1488,2024-11-10,4931
,,HA-HB2,119,,,,,,,,,,,68.8,1488,2022-10-28,4928
,,PCV3,117,,,,,,,,,,,75.73,1488,2024-11-13,4923
,,Prevenar,116,,,,,,,,,,,72.25,1487,2022-10-27,4921
