EVENT_AGE,Frequency,DIAGN1,Frequency,DIAGN2,Frequency,DIAGN3,Frequency,DIAGN4,Frequency,RETINO,Frequency,OVISUS,Frequency,VVISUS,Frequency,OHALK,Frequency,VHALK,Frequency,OHEMIA,Frequency,VHEMIA,Frequency
0.0,130,36251,932,,2490,,3664,,3948,,3766,7,1829,7,1775,,3621,,3634,,4100,,4099
List truncated...,,36252,679,37935,166,37935,95,H541,61,1,281,6,555,6,611,3,192,3,187,1,110,1,109
,,36202,269,36251,163,List truncated...,,H542,52,2,139,5,496,5,529,4,174,4,180,List truncated...,,List truncated...,
,,36274,187,36252,116,,,List truncated...,,List truncated...,,8,492,8,458,6,104,6,100,,,,
,,36800,172,36511,81,,,,,,,4,338,4,363,1,62,1,56,,,,
,,36511,156,36840,63,,,,,,,9,203,9,209,5,54,List truncated...,,,,,
,,36201,144,37931,57,,,,,,,2,193,2,157,List truncated...,,,,,,,
,,36250,137,36107,53,,,,,,,3,73,3,89,,,,,,,,
,,36270,82,36800,50,,,,,,,List truncated...,,List truncated...,,,,,,,,,
,,36552,79,List truncated...,,,,,,,,,,,,,,,,,,,
,,36021,75,,,,,,,,,,,,,,,,,,,,
,,37710,73,,,,,,,,,,,,,,,,,,,,
,,36275,65,,,,,,,,,,,,,,,,,,,,
,,74330,54,,,,,,,,,,,,,,,,,,,,
,,36846,50,,,,,,,,,,,,,,,,,,,,
,,36254,50,,,,,,,,,,,,,,,,,,,,
,,List truncated...,,,,,,,,,,,,,,,,,,,,,
